"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 2","2015","0","0.015","0.015","922","882","60725",""
"11","NCEA Level 2","2016","0","0.016","0.015","976","920","60942",""
"11","NCEA Level 2","2017","0","0.018","0.017","1046","1013","59297",""
"11","NCEA Level 2","2018","0","0.013","0.012","768","740","59392",""
"11","NCEA Level 2","2019","0","0.014","0.013","824","770","60982",""
"11","NCEA Level 2","2020","0","0.019","0.019","1175","1133","61046",""
"11","NCEA Level 2","2021","0","0.019","0.018","1161","1100","62261",""
"11","NCEA Level 2","2022","0","0.018","0.017","1173","1096","65219",""
"11","NCEA Level 2","2023","0","0.015","0.015","1061","1024","68720",""
"11","NCEA Level 2","2024","0","0.013","0.012","945","868","70141",""
"11","NCEA Level 3","2015","0","0.001","0","39","27","60725",""
"11","NCEA Level 3","2016","0","0.001","0.001","52","43","60942",""
"11","NCEA Level 3","2017","0","0.001","0.001","78","76","59297",""
"11","NCEA Level 3","2018","0","0.001","0.001","63","56","59392",""
"11","NCEA Level 3","2019","0","0.001","0.001","83","68","60982",""
"11","NCEA Level 3","2020","0","0.002","0.001","96","85","61046",""
"11","NCEA Level 3","2021","0","0.002","0.001","95","78","62261",""
"11","NCEA Level 3","2022","0","0.001","0.001","74","61","65219",""
"11","NCEA Level 3","2023","0","0.001","0.001","87","79","68720",""
"11","NCEA Level 3","2024","0","0.002","0.002","156","129","70141",""
"11","University Entrance","2015","0","0","0","10","8","60725",""
"11","University Entrance","2016","0","0","0","7","6","60942",""
"11","University Entrance","2017","0","0","0","6","6","59297",""
"11","University Entrance","2018","0","0","0","5","5","59392",""
"11","University Entrance","2019","0","0","0","18","18","60982",""
"11","University Entrance","2020","0","0","0","16","14","61046",""
"11","University Entrance","2021","0","0","0","14","9","62261",""
"11","University Entrance","2022","0","0","0","14","13","65219",""
"11","University Entrance","2023","0","0","0","9","8","68720",""
"11","University Entrance","2024","0","0","0","6","6","70141",""
"12","NCEA Level 2","2015","1","0.763","0.745","42065","41096","55150",""
"12","NCEA Level 2","2016","1","0.784","0.764","44711","43528","56994",""
"12","NCEA Level 2","2017","1","0.785","0.764","44767","43582","57045",""
"12","NCEA Level 2","2018","1","0.776","0.754","42891","41668","55278",""
"12","NCEA Level 2","2019","1","0.775","0.756","42677","41657","55101",""
"12","NCEA Level 2","2020","1","0.801","0.782","45100","44001","56292",""
"12","NCEA Level 2","2021","1","0.779","0.754","44386","42940","56986",""
"12","NCEA Level 2","2022","1","0.749","0.722","43053","41477","57471",""
"12","NCEA Level 2","2023","1","0.732","0.706","44001","42418","60074",""
"12","NCEA Level 2","2024","1","0.736","0.714","46663","45279","63435",""
"12","NCEA Level 3","2015","0","0.009","0.009","517","488","55150",""
"12","NCEA Level 3","2016","0","0.01","0.009","570","534","56994",""
"12","NCEA Level 3","2017","0","0.01","0.009","561","521","57045",""
"12","NCEA Level 3","2018","0","0.01","0.009","548","474","55278",""
"12","NCEA Level 3","2019","0","0.01","0.009","559","492","55101",""
"12","NCEA Level 3","2020","0","0.015","0.013","818","746","56292",""
"12","NCEA Level 3","2021","0","0.016","0.014","909","808","56986",""
"12","NCEA Level 3","2022","0","0.017","0.015","984","887","57471",""
"12","NCEA Level 3","2023","0","0.016","0.014","937","852","60074",""
"12","NCEA Level 3","2024","0","0.015","0.013","922","814","63435",""
"12","University Entrance","2015","0","0.005","0.005","300","290","55150",""
"12","University Entrance","2016","0","0.006","0.006","366","355","56994",""
"12","University Entrance","2017","0","0.005","0.005","271","263","57045",""
"12","University Entrance","2018","0","0.005","0.005","272","262","55278",""
"12","University Entrance","2019","0","0.005","0.005","281","275","55101",""
"12","University Entrance","2020","0","0.006","0.006","330","323","56292",""
"12","University Entrance","2021","0","0.006","0.006","353","342","56986",""
"12","University Entrance","2022","0","0.006","0.006","350","341","57471",""
