"Year Level","Qualification","Ethnicity","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 2","Maori","2015","0","0.023","0.022","344","324","14702",""
"11","NCEA Level 2","Maori","2016","0","0.026","0.024","398","367","15052",""
"11","NCEA Level 2","Maori","2017","0","0.029","0.029","425","412","14410",""
"11","NCEA Level 2","Maori","2018","0","0.021","0.02","300","286","14410",""
"11","NCEA Level 2","Maori","2019","0","0.022","0.02","330","300","14804",""
"11","NCEA Level 2","Maori","2020","0","0.031","0.03","464","444","15035",""
"11","NCEA Level 2","Maori","2021","0","0.031","0.029","500","457","15930",""
"11","NCEA Level 2","Maori","2022","0","0.028","0.026","475","429","16717",""
"11","NCEA Level 2","Maori","2023","0","0.032","0.031","563","536","17473",""
"11","NCEA Level 2","Maori","2024","0","0.027","0.023","478","416","17905",""
"11","NCEA Level 2","Pacific Peoples","2015","0","0.006","0.006","45","44","7201",""
"11","NCEA Level 2","Pacific Peoples","2016","0","0.007","0.006","50","48","7395",""
"11","NCEA Level 2","Pacific Peoples","2017","0","0.007","0.006","52","47","7423",""
"11","NCEA Level 2","Pacific Peoples","2018","0","0.004","0.004","33","28","7365",""
"11","NCEA Level 2","Pacific Peoples","2019","0","0.004","0.003","27","26","7622",""
"11","NCEA Level 2","Pacific Peoples","2020","0","0.01","0.01","75","73","7639",""
"11","NCEA Level 2","Pacific Peoples","2021","0","0.008","0.008","64","62","7842",""
"11","NCEA Level 2","Pacific Peoples","2022","0","0.008","0.007","66","62","8387",""
"11","NCEA Level 2","Pacific Peoples","2023","0","0.008","0.007","69","67","8936",""
"11","NCEA Level 2","Pacific Peoples","2024","0","0.009","0.009","85","81","9336",""
"11","NCEA Level 2","Asian","2015","0","0.019","0.018","127","124","6745",""
"11","NCEA Level 2","Asian","2016","0","0.016","0.016","113","112","6917",""
"11","NCEA Level 2","Asian","2017","0","0.019","0.018","124","123","6700",""
