"Year Level","Qualification","Gender","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 2","Female","2015","0","0.013","0.013","392","374","29645",""
"11","NCEA Level 2","Female","2016","0","0.014","0.013","421","397","29750",""
"11","NCEA Level 2","Female","2017","0","0.016","0.016","467","454","29067",""
"11","NCEA Level 2","Female","2018","0","0.012","0.012","347","340","28875",""
"11","NCEA Level 2","Female","2019","0","0.013","0.012","379","351","29899",""
"11","NCEA Level 2","Female","2020","0","0.017","0.017","511","491","29702",""
"11","NCEA Level 2","Female","2021","0","0.017","0.016","518","490","30553",""
"11","NCEA Level 2","Female","2022","0","0.017","0.015","522","481","31633",""
"11","NCEA Level 2","Female","2023","0","0.014","0.014","481","461","33478",""
"11","NCEA Level 2","Female","2024","0","0.013","0.012","428","389","33778",""
"11","NCEA Level 2","Male","2015","0","0.017","0.016","530","508","31055",""
"11","NCEA Level 2","Male","2016","0","0.018","0.017","555","523","31184",""
"11","NCEA Level 2","Male","2017","0","0.019","0.018","579","559","30226",""
"11","NCEA Level 2","Male","2018","0","0.014","0.013","421","400","30517",""
"11","NCEA Level 2","Male","2019","0","0.014","0.013","445","419","31079",""
"11","NCEA Level 2","Male","2020","0","0.021","0.02","663","641","31342",""
"11","NCEA Level 2","Male","2021","0","0.02","0.019","643","610","31702",""
"11","NCEA Level 2","Male","2022","0","0.019","0.018","651","615","33580",""
"11","NCEA Level 2","Male","2023","0","0.016","0.016","580","563","35235",""
"11","NCEA Level 2","Male","2024","0","0.014","0.013","509","471","36219",""
"11","NCEA Level 3","Female","2015","0","0.001","0.001","23","15","29645",""
"11","NCEA Level 3","Female","2016","0","0.001","0.001","20","19","29750",""
"11","NCEA Level 3","Female","2017","0","0.002","0.002","50","50","29067",""
"11","NCEA Level 3","Female","2018","0","0.001","0.001","36","34","28875",""
"11","NCEA Level 3","Female","2019","0","0.002","0.001","53","43","29899",""
"11","NCEA Level 3","Female","2020","0","0.002","0.001","51","44","29702",""
"11","NCEA Level 3","Female","2021","0","0.002","0.002","56","47","30553",""
"11","NCEA Level 3","Female","2022","0","0.001","0.001","34","26","31633",""
"11","NCEA Level 3","Female","2023","0","0.002","0.001","56","49","33478",""
"11","NCEA Level 3","Female","2024","0","0.003","0.002","93","81","33778",""
"11","NCEA Level 3","Male","2015","0","0.001","0","16","12","31055",""
"11","NCEA Level 3","Male","2016","0","0.001","0.001","32","24","31184",""
"11","NCEA Level 3","Male","2017","0","0.001","0.001","28","26","30226",""
"11","NCEA Level 3","Male","2018","0","0.001","0.001","27","22","30517",""
"11","NCEA Level 3","Male","2019","0","0.001","0.001","30","25","31079",""
"11","NCEA Level 3","Male","2020","0","0.001","0.001","45","41","31342",""
"11","NCEA Level 3","Male","2021","0","0.001","0.001","39","31","31702",""
"11","NCEA Level 3","Male","2022","0","0.001","0.001","40","35","33580",""
"11","NCEA Level 3","Male","2023","0","0.001","0.001","31","30","35235",""
"11","NCEA Level 3","Male","2024","0","0.002","0.001","63","48","36219",""
"11","University Entrance","Female","2015","0","0","0","6","6","29645",""
