"Year Level","Qualification","Region","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 2","Auckland","2015","0","0.008","0.008","171","166","20374",""
"11","NCEA Level 2","Auckland","2016","0","0.009","0.009","189","185","20359",""
"11","NCEA Level 2","Auckland","2017","0","0.012","0.012","237","230","19628",""
"11","NCEA Level 2","Auckland","2018","0","0.009","0.008","174","169","19949",""
"11","NCEA Level 2","Auckland","2019","0","0.008","0.007","158","145","20162",""
"11","NCEA Level 2","Auckland","2020","0","0.011","0.011","231","216","20215",""
"11","NCEA Level 2","Auckland","2021","0","0.011","0.011","232","226","20526",""
"11","NCEA Level 2","Auckland","2022","0","0.008","0.008","181","170","21537",""
"11","NCEA Level 2","Auckland","2023","0","0.007","0.006","152","142","22920",""
"11","NCEA Level 2","Auckland","2024","0","0.009","0.009","205","202","23264",""
"11","NCEA Level 2","Bay of Plenty","2015","0","0.031","0.03","126","124","4089",""
"11","NCEA Level 2","Bay of Plenty","2016","0","0.034","0.034","137","136","4053",""
"11","NCEA Level 2","Bay of Plenty","2017","0","0.041","0.041","164","164","3990",""
"11","NCEA Level 2","Bay of Plenty","2018","0","0.033","0.032","130","124","3929",""
"11","NCEA Level 2","Bay of Plenty","2019","0","0.035","0.031","141","127","4033",""
"11","NCEA Level 2","Bay of Plenty","2020","0","0.045","0.045","188","185","4152",""
"11","NCEA Level 2","Bay of Plenty","2021","0","0.043","0.041","183","173","4234",""
"11","NCEA Level 2","Bay of Plenty","2022","0","0.037","0.034","161","149","4371",""
"11","NCEA Level 2","Bay of Plenty","2023","0","0.036","0.036","161","160","4474",""
"11","NCEA Level 2","Bay of Plenty","2024","0","0.031","0.026","141","117","4552",""
"11","NCEA Level 2","Canterbury","2015","0","0.01","0.009","69","66","7123",""
"11","NCEA Level 2","Canterbury","2016","0","0.011","0.01","76","71","7099",""
"11","NCEA Level 2","Canterbury","2017","0","0.01","0.01","71","69","7170",""
"11","NCEA Level 2","Canterbury","2018","0","0.008","0.007","56","50","7097",""
"11","NCEA Level 2","Canterbury","2019","0","0.008","0.007","58","53","7364",""
"11","NCEA Level 2","Canterbury","2020","0","0.008","0.008","61","56","7305",""
"11","NCEA Level 2","Canterbury","2021","0","0.009","0.009","69","67","7299",""
"11","NCEA Level 2","Canterbury","2022","0","0.01","0.009","76","74","7827",""
"11","NCEA Level 2","Canterbury","2023","0","0.007","0.007","59","55","8239",""
"11","NCEA Level 2","Canterbury","2024","0","0.006","0.006","49","46","8340",""
"11","NCEA Level 2","Gisborne","2015","0","0.031","0.031","20","20","639",""
"11","NCEA Level 2","Gisborne","2016","0","0.013","0.013","9","9","695",""
"11","NCEA Level 2","Gisborne","2017","0","0.021","0.02","15","14","711",""
"11","NCEA Level 2","Gisborne","2018","0","0.028","0.026","20","18","705",""
"11","NCEA Level 2","Gisborne","2019","0","0.021","0.021","14","14","676",""
"11","NCEA Level 2","Gisborne","2020","0","0.02","0.02","13","13","662",""
"11","NCEA Level 2","Gisborne","2021","0","0.029","0.029","21","21","712",""
"11","NCEA Level 2","Gisborne","2022","0","0.037","0.037","25","25","683",""
"11","NCEA Level 2","Gisborne","2023","0","0.034","0.034","24","24","705",""
"11","NCEA Level 2","Gisborne","2024","0","0.048","0.038","34","27","713",""
"11","NCEA Level 2","Hawke's Bay","2015","0","0.029","0.029","67","67","2321",""
"11","NCEA Level 2","Hawke's Bay","2016","0","0.024","0.024","57","57","2345",""
"11","NCEA Level 2","Hawke's Bay","2017","0","0.036","0.036","86","86","2382",""
"11","NCEA Level 2","Hawke's Bay","2018","0","0.018","0.018","40","40","2189",""
"11","NCEA Level 2","Hawke's Bay","2019","0","0.016","0.016","37","36","2283",""
"11","NCEA Level 2","Hawke's Bay","2020","0","0.022","0.022","52","52","2318",""
"11","NCEA Level 2","Hawke's Bay","2021","0","0.02","0.02","44","44","2197",""
"11","NCEA Level 2","Hawke's Bay","2022","0","0.022","0.021","53","51","2383",""
"11","NCEA Level 2","Hawke's Bay","2023","0","0.024","0.024","60","58","2454",""
"11","NCEA Level 2","Hawke's Bay","2024","0","0.011","0.008","25","20","2362",""
"11","NCEA Level 2","Manawatu-Whanganui","2015","0","0.029","0.028","88","86","3026",""
"11","NCEA Level 2","Manawatu-Whanganui","2016","0","0.027","0.027","86","86","3134",""
"11","NCEA Level 2","Manawatu-Whanganui","2017","0","0.032","0.032","96","95","3002",""
"11","NCEA Level 2","Manawatu-Whanganui","2018","0","0.022","0.022","63","63","2924",""
"11","NCEA Level 2","Manawatu-Whanganui","2019","0","0.022","0.022","68","68","3139",""
"11","NCEA Level 2","Manawatu-Whanganui","2020","0","0.027","0.025","79","75","2954",""
"11","NCEA Level 2","Manawatu-Whanganui","2021","0","0.03","0.028","93","89","3151",""
"11","NCEA Level 2","Manawatu-Whanganui","2022","0","0.031","0.03","95","92","3069",""
"11","NCEA Level 2","Manawatu-Whanganui","2023","0","0.031","0.03","106","103","3406",""
"11","NCEA Level 2","Manawatu-Whanganui","2024","0","0.028","0.027","95","92","3367",""
"11","NCEA Level 2","Marlborough","2015","0","0.006","0.004","3","2","496",""
"11","NCEA Level 2","Marlborough","2016","0","0.004","0.004","2","2","467",""
"11","NCEA Level 2","Marlborough","2017","0","0.023","0.023","10","10","440",""
"11","NCEA Level 2","Marlborough","2018","0","0.012","0.012","6","6","481",""
"11","NCEA Level 2","Marlborough","2019","0","0.002","0.002","1","1","505",""
"11","NCEA Level 2","Marlborough","2020","0","0.04","0.038","18","17","446",""
