"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","Level 1 Literacy","2015","1","0.864","0.852","52466","51768","60725",""
"11","Level 1 Literacy","2016","1","0.865","0.853","52704","52006","60942",""
"11","Level 1 Literacy","2017","1","0.871","0.859","51662","50957","59297",""
"11","Level 1 Literacy","2018","1","0.862","0.85","51213","50477","59392",""
"11","Level 1 Literacy","2019","1","0.855","0.843","52150","51387","60982",""
"11","Level 1 Literacy","2020","1","0.851","0.838","51971","51144","61046",""
"11","Level 1 Literacy","2021","1","0.836","0.819","52042","51017","62261",""
"11","Level 1 Literacy","2022","1","0.816","0.796","53236","51892","65219",""
"11","Level 1 Literacy","2023","1","0.828","0.799","56907","54940","68720",""
"11","Level 1 Literacy","2024","1","0.766","0.624","53737","43770","70141",""
"11","Level 1 Numeracy","2015","1","0.846","0.837","51383","50812","60725",""
"11","Level 1 Numeracy","2016","1","0.851","0.842","51832","51297","60942",""
"11","Level 1 Numeracy","2017","1","0.855","0.846","50707","50165","59297",""
"11","Level 1 Numeracy","2018","1","0.844","0.834","50114","49534","59392",""
"11","Level 1 Numeracy","2019","1","0.834","0.825","50874","50325","60982",""
"11","Level 1 Numeracy","2020","1","0.836","0.828","51058","50519","61046",""
"11","Level 1 Numeracy","2021","1","0.825","0.813","51337","50617","62261",""
"11","Level 1 Numeracy","2022","1","0.808","0.793","52703","51691","65219",""
"11","Level 1 Numeracy","2023","1","0.823","0.778","56590","53447","68720",""
"11","Level 1 Numeracy","2024","1","0.748","0.559","52450","39236","70141",""
"12","Level 1 Literacy","2015","0","0.922","0.123","50843","6791","55150",""
"12","Level 1 Literacy","2016","0","0.926","0.116","52797","6601","56994",""
"12","Level 1 Literacy","2017","0","0.928","0.11","52946","6284","57045",""
"12","Level 1 Literacy","2018","0","0.933","0.112","51552","6198","55278",""
"12","Level 1 Literacy","2019","0","0.928","0.128","51157","7069","55101",""
"12","Level 1 Literacy","2020","0","0.927","0.136","52185","7663","56292",""
"12","Level 1 Literacy","2021","0","0.922","0.132","52554","7550","56986",""
"12","Level 1 Literacy","2022","0","0.912","0.134","52409","7707","57471",""
"12","Level 1 Literacy","2023","0","0.908","0.174","54547","10437","60074",""
"12","Level 1 Literacy","2024","0","0.891","0.18","56537","11391","63435",""
"12","Level 1 Numeracy","2015","0","0.91","0.121","50182","6698","55150",""
"12","Level 1 Numeracy","2016","0","0.918","0.114","52307","6522","56994",""
"12","Level 1 Numeracy","2017","0","0.92","0.108","52499","6165","57045",""
"12","Level 1 Numeracy","2018","0","0.924","0.111","51101","6122","55278",""
"12","Level 1 Numeracy","2019","0","0.918","0.126","50598","6946","55101",""
"12","Level 1 Numeracy","2020","0","0.917","0.133","51603","7511","56292",""
"12","Level 1 Numeracy","2021","0","0.913","0.131","52051","7452","56986",""
"12","Level 1 Numeracy","2022","0","0.902","0.132","51832","7579","57471",""
"12","Level 1 Numeracy","2023","0","0.9","0.171","54052","10288","60074",""
"12","Level 1 Numeracy","2024","0","0.891","0.182","56530","11526","63435",""
"13","Level 1 Literacy","2015","0","0.936","0.03","45769","1472","48885",""
"13","Level 1 Literacy","2016","0","0.939","0.03","45350","1438","48306",""
"13","Level 1 Literacy","2017","0","0.942","0.026","46206","1251","49052",""
"13","Level 1 Literacy","2018","0","0.944","0.026","45059","1220","47747",""
"13","Level 1 Literacy","2019","0","0.946","0.027","43786","1240","46304",""
"13","Level 1 Literacy","2020","0","0.944","0.031","43995","1454","46598",""
"13","Level 1 Literacy","2021","0","0.942","0.024","45383","1164","48158",""
"13","Level 1 Literacy","2022","0","0.939","0.023","43971","1090","46803",""
"13","Level 1 Literacy","2023","0","0.935","0.036","43422","1664","46450",""
"13","Level 1 Literacy","2024","0","0.922","0.04","46330","2014","50225",""
"13","Level 1 Numeracy","2015","0","0.928","0.029","45389","1417","48885",""
"13","Level 1 Numeracy","2016","0","0.931","0.028","44990","1361","48306",""
"13","Level 1 Numeracy","2017","0","0.937","0.025","45943","1206","49052",""
"13","Level 1 Numeracy","2018","0","0.938","0.025","44783","1176","47747",""
"13","Level 1 Numeracy","2019","0","0.94","0.026","43513","1187","46304",""
"13","Level 1 Numeracy","2020","0","0.937","0.03","43675","1394","46598",""
"13","Level 1 Numeracy","2021","0","0.936","0.023","45057","1120","48158",""
"13","Level 1 Numeracy","2022","0","0.933","0.023","43659","1066","46803",""
"13","Level 1 Numeracy","2023","0","0.93","0.036","43208","1655","46450",""
"13","Level 1 Numeracy","2024","0","0.922","0.043","46310","2138","50225",""
