"Year Level","Qualification","Ethnicity","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","Level 1 Literacy","Maori","2015","1","0.795","0.774","11693","11372","14702",""
"11","Level 1 Literacy","Maori","2016","1","0.798","0.776","12014","11677","15052",""
"11","Level 1 Literacy","Maori","2017","1","0.805","0.782","11593","11275","14410",""
"11","Level 1 Literacy","Maori","2018","1","0.783","0.759","11283","10940","14410",""
"11","Level 1 Literacy","Maori","2019","1","0.777","0.753","11510","11145","14804",""
"11","Level 1 Literacy","Maori","2020","1","0.78","0.757","11723","11386","15035",""
"11","Level 1 Literacy","Maori","2021","1","0.76","0.731","12106","11644","15930",""
"11","Level 1 Literacy","Maori","2022","1","0.74","0.707","12371","11825","16717",""
"11","Level 1 Literacy","Maori","2023","1","0.752","0.716","13134","12503","17473",""
"11","Level 1 Literacy","Maori","2024","1","0.684","0.568","12247","10173","17905",""
"11","Level 1 Literacy","European","2015","1","0.897","0.889","34400","34086","38358",""
"11","Level 1 Literacy","European","2016","1","0.898","0.889","34578","34247","38515",""
"11","Level 1 Literacy","European","2017","1","0.904","0.895","34189","33837","37821",""
"11","Level 1 Literacy","European","2018","1","0.897","0.888","33684","33365","37571",""
"11","Level 1 Literacy","European","2019","1","0.887","0.879","34502","34170","38879",""
"11","Level 1 Literacy","European","2020","1","0.878","0.869","33829","33488","38517",""
"11","Level 1 Literacy","European","2021","1","0.868","0.857","34284","33876","39509",""
"11","Level 1 Literacy","European","2022","1","0.848","0.833","35162","34558","41473",""
"11","Level 1 Literacy","European","2023","1","0.862","0.835","37020","35860","42949",""
"11","Level 1 Literacy","European","2024","1","0.814","0.665","35041","28631","43071",""
"11","Level 1 Literacy","Pacific Peoples","2015","1","0.865","0.857","6232","6170","7201",""
"11","Level 1 Literacy","Pacific Peoples","2016","1","0.857","0.847","6335","6267","7395",""
"11","Level 1 Literacy","Pacific Peoples","2017","1","0.859","0.85","6378","6312","7423",""
"11","Level 1 Literacy","Pacific Peoples","2018","1","0.845","0.835","6223","6151","7365",""
"11","Level 1 Literacy","Pacific Peoples","2019","1","0.843","0.835","6426","6364","7622",""
"11","Level 1 Literacy","Pacific Peoples","2020","1","0.846","0.835","6460","6375","7639",""
"11","Level 1 Literacy","Pacific Peoples","2021","1","0.816","0.801","6401","6283","7842",""
"11","Level 1 Literacy","Pacific Peoples","2022","1","0.796","0.781","6674","6550","8387",""
"11","Level 1 Literacy","Pacific Peoples","2023","1","0.813","0.793","7263","7086","8936",""
"11","Level 1 Literacy","Pacific Peoples","2024","1","0.705","0.594","6579","5550","9336",""
"11","Level 1 Literacy","Asian","2015","1","0.842","0.834","5680","5628","6745",""
"11","Level 1 Literacy","Asian","2016","1","0.852","0.846","5893","5850","6917",""
"11","Level 1 Literacy","Asian","2017","1","0.858","0.851","5746","5700","6700",""
"11","Level 1 Literacy","Asian","2018","1","0.863","0.853","6367","6293","7375",""
"11","Level 1 Literacy","Asian","2019","1","0.861","0.851","6585","6502","7644",""
"11","Level 1 Literacy","Asian","2020","1","0.852","0.831","6966","6794","8174",""
"11","Level 1 Literacy","Asian","2021","1","0.837","0.814","6819","6629","8143",""
"11","Level 1 Literacy","Asian","2022","1","0.824","0.797","7421","7173","9004",""
"11","Level 1 Literacy","Asian","2023","1","0.822","0.792","8961","8633","10898",""
"11","Level 1 Literacy","Asian","2024","1","0.759","0.586","9559","7381","12594",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2015","1","0.873","0.867","930","923","1065",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2016","1","0.868","0.861","996","987","1147",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2017","1","0.873","0.867","952","946","1091",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2018","1","0.862","0.854","978","969","1134",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2019","1","0.823","0.813","1048","1036","1274",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2020","1","0.859","0.85","1165","1154","1357",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2021","1","0.84","0.833","1163","1153","1384",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2022","1","0.791","0.78","1184","1168","1497",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2023","1","0.835","0.806","1352","1306","1620",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2024","1","0.751","0.597","1344","1069","1790",""
"11","Level 1 Numeracy","Maori","2015","1","0.763","0.75","11224","11030","14702",""
"11","Level 1 Numeracy","Maori","2016","1","0.775","0.762","11660","11476","15052",""
"11","Level 1 Numeracy","Maori","2017","1","0.778","0.767","11212","11056","14410",""
"11","Level 1 Numeracy","Maori","2018","1","0.75","0.736","10811","10610","14410",""
"11","Level 1 Numeracy","Maori","2019","1","0.746","0.732","11039","10835","14804",""
"11","Level 1 Numeracy","Maori","2020","1","0.751","0.738","11294","11093","15035",""
"11","Level 1 Numeracy","Maori","2021","1","0.725","0.708","11551","11281","15930",""
