"Year Level","Qualification","Gender","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","Level 1 Literacy","Female","2015","1","0.895","0.885","26537","26232","29645",""
"11","Level 1 Literacy","Female","2016","1","0.893","0.882","26562","26252","29750",""
"11","Level 1 Literacy","Female","2017","1","0.899","0.886","26120","25765","29067",""
"11","Level 1 Literacy","Female","2018","1","0.891","0.879","25715","25385","28875",""
"11","Level 1 Literacy","Female","2019","1","0.882","0.87","26370","26013","29899",""
"11","Level 1 Literacy","Female","2020","1","0.871","0.858","25884","25478","29702",""
"11","Level 1 Literacy","Female","2021","1","0.854","0.839","26086","25632","30553",""
"11","Level 1 Literacy","Female","2022","1","0.83","0.81","26256","25630","31633",""
"11","Level 1 Literacy","Female","2023","1","0.849","0.817","28433","27367","33478",""
"11","Level 1 Literacy","Female","2024","1","0.809","0.654","27342","22090","33778",""
"11","Level 1 Literacy","Male","2015","1","0.834","0.822","25907","25514","31055",""
"11","Level 1 Literacy","Male","2016","1","0.838","0.826","26134","25746","31184",""
"11","Level 1 Literacy","Male","2017","1","0.845","0.833","25539","25189","30226",""
"11","Level 1 Literacy","Male","2018","1","0.836","0.822","25498","25092","30517",""
"11","Level 1 Literacy","Male","2019","1","0.829","0.816","25777","25371","31079",""
"11","Level 1 Literacy","Male","2020","1","0.832","0.819","26086","25666","31342",""
"11","Level 1 Literacy","Male","2021","1","0.819","0.801","25952","25381","31702",""
"11","Level 1 Literacy","Male","2022","1","0.803","0.782","26975","26257","33580",""
"11","Level 1 Literacy","Male","2023","1","0.808","0.782","28471","27571","35235",""
"11","Level 1 Literacy","Male","2024","1","0.726","0.596","26308","21598","36219",""
"11","Level 1 Numeracy","Female","2015","1","0.874","0.867","25896","25694","29645",""
"11","Level 1 Numeracy","Female","2016","1","0.877","0.869","26085","25858","29750",""
"11","Level 1 Numeracy","Female","2017","1","0.879","0.871","25563","25312","29067",""
"11","Level 1 Numeracy","Female","2018","1","0.87","0.862","25131","24883","28875",""
"11","Level 1 Numeracy","Female","2019","1","0.862","0.854","25760","25523","29899",""
"11","Level 1 Numeracy","Female","2020","1","0.858","0.849","25477","25225","29702",""
"11","Level 1 Numeracy","Female","2021","1","0.843","0.834","25766","25488","30553",""
"11","Level 1 Numeracy","Female","2022","1","0.821","0.807","25972","25541","31633",""
"11","Level 1 Numeracy","Female","2023","1","0.838","0.789","28059","26415","33478",""
"11","Level 1 Numeracy","Female","2024","1","0.759","0.585","25634","19749","33778",""
"11","Level 1 Numeracy","Male","2015","1","0.82","0.808","25465","25096","31055",""
"11","Level 1 Numeracy","Male","2016","1","0.825","0.816","25739","25431","31184",""
"11","Level 1 Numeracy","Male","2017","1","0.832","0.822","25142","24851","30226",""
"11","Level 1 Numeracy","Male","2018","1","0.819","0.808","24983","24651","30517",""
"11","Level 1 Numeracy","Male","2019","1","0.808","0.798","25113","24801","31079",""
"11","Level 1 Numeracy","Male","2020","1","0.816","0.807","25580","25294","31342",""
"11","Level 1 Numeracy","Male","2021","1","0.806","0.793","25566","25124","31702",""
"11","Level 1 Numeracy","Male","2022","1","0.796","0.779","26726","26145","33580",""
"11","Level 1 Numeracy","Male","2023","1","0.81","0.767","28529","27031","35235",""
"11","Level 1 Numeracy","Male","2024","1","0.738","0.536","26735","19407","36219",""
"12","Level 1 Literacy","Female","2015","0","0.94","0.106","25547","2879","27191",""
"12","Level 1 Literacy","Female","2016","0","0.943","0.101","26702","2872","28303",""
"12","Level 1 Literacy","Female","2017","0","0.943","0.099","26679","2814","28289",""
"12","Level 1 Literacy","Female","2018","0","0.947","0.098","26077","2686","27535",""
"12","Level 1 Literacy","Female","2019","0","0.942","0.113","25803","3108","27391",""
"12","Level 1 Literacy","Female","2020","0","0.939","0.117","26416","3300","28121",""
"12","Level 1 Literacy","Female","2021","0","0.935","0.13","26260","3650","28079",""
"12","Level 1 Literacy","Female","2022","0","0.924","0.133","26440","3796","28630",""
"12","Level 1 Literacy","Female","2023","0","0.918","0.175","27171","5179","29593",""
"12","Level 1 Literacy","Female","2024","0","0.909","0.184","28465","5752","31330",""
"12","Level 1 Literacy","Male","2015","0","0.905","0.14","25272","3909","27933",""
"12","Level 1 Literacy","Male","2016","0","0.91","0.13","26072","3725","28666",""
"12","Level 1 Literacy","Male","2017","0","0.913","0.121","26259","3470","28748",""
"12","Level 1 Literacy","Male","2018","0","0.918","0.127","25474","3512","27742",""
"12","Level 1 Literacy","Male","2019","0","0.915","0.143","25354","3961","27710",""
"12","Level 1 Literacy","Male","2020","0","0.915","0.155","25768","4362","28169",""
"12","Level 1 Literacy","Male","2021","0","0.91","0.135","26292","3900","28902",""
"12","Level 1 Literacy","Male","2022","0","0.9","0.136","25955","3909","28824",""
