"Year Level","Qualification","Region","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","Level 1 Literacy","Auckland","2015","1","0.841","0.835","17138","17003","20374",""
"11","Level 1 Literacy","Auckland","2016","1","0.84","0.833","17105","16963","20359",""
"11","Level 1 Literacy","Auckland","2017","1","0.851","0.843","16696","16549","19628",""
"11","Level 1 Literacy","Auckland","2018","1","0.854","0.844","17031","16839","19949",""
"11","Level 1 Literacy","Auckland","2019","1","0.85","0.839","17140","16924","20162",""
"11","Level 1 Literacy","Auckland","2020","1","0.839","0.822","16958","16616","20215",""
"11","Level 1 Literacy","Auckland","2021","1","0.814","0.795","16699","16316","20526",""
"11","Level 1 Literacy","Auckland","2022","1","0.801","0.779","17250","16768","21537",""
"11","Level 1 Literacy","Auckland","2023","1","0.82","0.787","18797","18046","22920",""
"11","Level 1 Literacy","Auckland","2024","1","0.757","0.552","17602","12840","23264",""
"11","Level 1 Literacy","Bay of Plenty","2015","1","0.885","0.86","3618","3515","4089",""
"11","Level 1 Literacy","Bay of Plenty","2016","1","0.879","0.86","3563","3486","4053",""
"11","Level 1 Literacy","Bay of Plenty","2017","1","0.885","0.865","3531","3451","3990",""
"11","Level 1 Literacy","Bay of Plenty","2018","1","0.869","0.846","3416","3322","3929",""
"11","Level 1 Literacy","Bay of Plenty","2019","1","0.878","0.854","3542","3443","4033",""
"11","Level 1 Literacy","Bay of Plenty","2020","1","0.891","0.873","3701","3626","4152",""
"11","Level 1 Literacy","Bay of Plenty","2021","1","0.874","0.844","3702","3574","4234",""
"11","Level 1 Literacy","Bay of Plenty","2022","1","0.85","0.816","3717","3567","4371",""
"11","Level 1 Literacy","Bay of Plenty","2023","1","0.868","0.829","3882","3711","4474",""
"11","Level 1 Literacy","Bay of Plenty","2024","1","0.816","0.724","3716","3297","4552",""
"11","Level 1 Literacy","Canterbury","2015","1","0.907","0.902","6457","6426","7123",""
"11","Level 1 Literacy","Canterbury","2016","1","0.903","0.893","6407","6341","7099",""
