"Year Level","Qualification","Ethnicity","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","Level 1 Literacy","Maori","2009","1","0.612","0.583","8761","8352","14315",""
"11","Level 1 Literacy","Maori","2010","1","0.635","0.608","9335","8935","14695",""
"11","Level 1 Literacy","Maori","2011","1","0.679","0.648","10163","9693","14967",""
"11","Level 1 Literacy","Maori","2012","1","0.729","0.694","10426","9918","14293",""
"11","Level 1 Literacy","Maori","2013","1","0.749","0.718","10860","10407","14495",""
"11","Level 1 Literacy","Maori","2014","1","0.782","0.757","11078","10723","14171",""
"11","Level 1 Literacy","Maori","2015","1","0.795","0.774","11693","11372","14702",""
"11","Level 1 Literacy","Maori","2016","1","0.798","0.776","12014","11677","15052",""
"11","Level 1 Literacy","Maori","2017","1","0.805","0.782","11593","11275","14410",""
"11","Level 1 Literacy","Maori","2018","1","0.783","0.759","11283","10940","14410",""
"11","Level 1 Literacy","European","2009","1","0.786","0.774","32459","31996","41320",""
"11","Level 1 Literacy","European","2010","1","0.806","0.795","32893","32437","40809",""
"11","Level 1 Literacy","European","2011","1","0.843","0.831","33779","33261","40049",""
"11","Level 1 Literacy","European","2012","1","0.866","0.852","33377","32834","38556",""
"11","Level 1 Literacy","European","2013","1","0.879","0.866","34044","33569","38747",""
"11","Level 1 Literacy","European","2014","1","0.887","0.877","33521","33143","37805",""
"11","Level 1 Literacy","European","2015","1","0.897","0.889","34400","34086","38358",""
"11","Level 1 Literacy","European","2016","1","0.898","0.889","34578","34247","38515",""
"11","Level 1 Literacy","European","2017","1","0.904","0.895","34189","33837","37821",""
"11","Level 1 Literacy","European","2018","1","0.897","0.888","33684","33365","37571",""
"11","Level 1 Literacy","Pacific Peoples","2009","1","0.608","0.601","4166","4115","6848",""
"11","Level 1 Literacy","Pacific Peoples","2010","1","0.637","0.632","4408","4368","6915",""
"11","Level 1 Literacy","Pacific Peoples","2011","1","0.734","0.728","5157","5115","7030",""
"11","Level 1 Literacy","Pacific Peoples","2012","1","0.795","0.783","5593","5512","7039",""
"11","Level 1 Literacy","Pacific Peoples","2013","1","0.824","0.813","5735","5659","6957",""
"11","Level 1 Literacy","Pacific Peoples","2014","1","0.853","0.844","5919","5856","6940",""
"11","Level 1 Literacy","Pacific Peoples","2015","1","0.865","0.857","6232","6170","7201",""
"11","Level 1 Literacy","Pacific Peoples","2016","1","0.857","0.847","6335","6267","7395",""
"11","Level 1 Literacy","Pacific Peoples","2017","1","0.859","0.85","6378","6312","7423",""
"11","Level 1 Literacy","Pacific Peoples","2018","1","0.845","0.835","6223","6151","7365",""
"11","Level 1 Literacy","Asian","2009","1","0.721","0.715","4379","4344","6072",""
"11","Level 1 Literacy","Asian","2010","1","0.758","0.754","4545","4519","5996",""
"11","Level 1 Literacy","Asian","2011","1","0.804","0.799","4991","4956","6206",""
"11","Level 1 Literacy","Asian","2012","1","0.822","0.814","5155","5102","6270",""
"11","Level 1 Literacy","Asian","2013","1","0.826","0.817","5322","5265","6445",""
"11","Level 1 Literacy","Asian","2014","1","0.837","0.828","5303","5249","6338",""
"11","Level 1 Literacy","Asian","2015","1","0.842","0.834","5680","5628","6745",""
"11","Level 1 Literacy","Asian","2016","1","0.852","0.846","5893","5850","6917",""
"11","Level 1 Literacy","Asian","2017","1","0.858","0.851","5746","5700","6700",""
"11","Level 1 Literacy","Asian","2018","1","0.863","0.853","6367","6293","7375",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2009","1","0.727","0.722","765","760","1052",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2010","1","0.754","0.752","866","864","1149",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2011","1","0.816","0.812","893","888","1094",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2012","1","0.847","0.84","901","894","1064",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2013","1","0.856","0.85","895","889","1046",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2014","1","0.843","0.837","879","873","1043",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2015","1","0.873","0.867","930","923","1065",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2016","1","0.868","0.861","996","987","1147",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2017","1","0.873","0.867","952","946","1091",""
"11","Level 1 Literacy","Middle Eastern/Latin American/African","2018","1","0.862","0.854","978","969","1134",""
"12","Level 1 Literacy","Maori","2009","0","0.788","0.182","8400","1940","10660",""
"12","Level 1 Literacy","Maori","2010","0","0.821","0.2","9163","2226","11156",""
"12","Level 1 Literacy","Maori","2011","0","0.831","0.188","9570","2160","11518",""
"12","Level 1 Literacy","Maori","2012","0","0.857","0.194","10128","2294","11820",""
"12","Level 1 Literacy","Maori","2013","0","0.874","0.223","10303","2626","11787",""
"12","Level 1 Literacy","Maori","2014","0","0.899","0.189","10598","2225","11787",""
"12","Level 1 Literacy","Maori","2015","0","0.909","0.18","10810","2136","11895",""
"12","Level 1 Literacy","Maori","2016","0","0.917","0.164","11530","2064","12567",""
"12","Level 1 Literacy","Maori","2017","0","0.915","0.152","11817","1961","12916",""
"12","Level 1 Literacy","Maori","2018","0","0.923","0.148","11250","1806","12183",""
"12","Level 1 Literacy","European","2009","0","0.894","0.117","33233","4351","37159",""
"12","Level 1 Literacy","European","2010","0","0.901","0.125","33648","4682","37342",""
"12","Level 1 Literacy","European","2011","0","0.908","0.11","33844","4096","37289",""
"12","Level 1 Literacy","European","2012","0","0.92","0.11","33826","4060","36761",""
"12","Level 1 Literacy","European","2013","0","0.925","0.115","33302","4143","35997",""
"12","Level 1 Literacy","European","2014","0","0.937","0.101","33955","3665","36222",""
"12","Level 1 Literacy","European","2015","0","0.939","0.092","33329","3253","35501",""
"12","Level 1 Literacy","European","2016","0","0.944","0.09","34419","3299","36470",""
"12","Level 1 Literacy","European","2017","0","0.946","0.084","34390","3037","36358",""
"12","Level 1 Literacy","European","2018","0","0.949","0.09","33879","3196","35685",""
"12","Level 1 Literacy","Pacific Peoples","2009","0","0.797","0.25","4675","1466","5866",""
"12","Level 1 Literacy","Pacific Peoples","2010","0","0.807","0.252","4873","1524","6041",""
"12","Level 1 Literacy","Pacific Peoples","2011","0","0.813","0.234","5038","1451","6198",""
"12","Level 1 Literacy","Pacific Peoples","2012","0","0.872","0.246","5487","1548","6296",""
"12","Level 1 Literacy","Pacific Peoples","2013","0","0.906","0.291","5733","1842","6325",""
"12","Level 1 Literacy","Pacific Peoples","2014","0","0.921","0.228","5839","1448","6338",""
"12","Level 1 Literacy","Pacific Peoples","2015","0","0.934","0.217","5961","1388","6383",""
"12","Level 1 Literacy","Pacific Peoples","2016","0","0.939","0.189","6275","1266","6683",""
"12","Level 1 Literacy","Pacific Peoples","2017","0","0.936","0.187","6451","1288","6894",""
"12","Level 1 Literacy","Pacific Peoples","2018","0","0.932","0.173","6406","1189","6874",""
"12","Level 1 Literacy","Asian","2009","0","0.8","0.132","4693","772","5868",""
"12","Level 1 Literacy","Asian","2010","0","0.808","0.141","4877","853","6035",""
"12","Level 1 Literacy","Asian","2011","0","0.822","0.126","4946","758","6016",""
"12","Level 1 Literacy","Asian","2012","0","0.854","0.131","5301","812","6210",""
"12","Level 1 Literacy","Asian","2013","0","0.866","0.14","5439","880","6280",""
"12","Level 1 Literacy","Asian","2014","0","0.865","0.12","5604","779","6478",""
"12","Level 1 Literacy","Asian","2015","0","0.869","0.119","5605","765","6449",""
"12","Level 1 Literacy","Asian","2016","0","0.871","0.108","6030","745","6921",""
"12","Level 1 Literacy","Asian","2017","0","0.881","0.105","6246","743","7086",""
"12","Level 1 Literacy","Asian","2018","0","0.884","0.107","6055","732","6847",""
"12","Level 1 Literacy","Middle Eastern/Latin American/African","2009","0","0.779","0.206","754","199","968",""
"12","Level 1 Literacy","Middle Eastern/Latin American/African","2010","0","0.857","0.205","866","207","1011",""
"12","Level 1 Literacy","Middle Eastern/Latin American/African","2011","0","0.878","0.204","969","225","1104",""
