"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","Level 1 Literacy","2009","1","0.727","0.713","46736","45850","64296",""
"11","Level 1 Literacy","2010","1","0.749","0.735","47884","47021","63946",""
"11","Level 1 Literacy","2011","1","0.793","0.777","50272","49271","63390",""
"11","Level 1 Literacy","2012","1","0.824","0.806","50433","49335","61192",""
"11","Level 1 Literacy","2013","1","0.839","0.823","51408","50414","61256",""
"11","Level 1 Literacy","2014","1","0.853","0.84","50810","50032","59538",""
"11","Level 1 Literacy","2015","1","0.864","0.852","52466","51768","60725",""
"11","Level 1 Literacy","2016","1","0.865","0.853","52704","52006","60942",""
"11","Level 1 Literacy","2017","1","0.871","0.859","51662","50957","59297",""
"11","Level 1 Literacy","2018","1","0.862","0.85","51213","50477","59392",""
"12","Level 1 Literacy","2009","0","0.855","0.142","48178","8017","56344",""
"12","Level 1 Literacy","2010","0","0.866","0.152","49399","8644","57020",""
"12","Level 1 Literacy","2011","0","0.874","0.138","50032","7895","57223",""
"12","Level 1 Literacy","2012","0","0.895","0.141","50951","8010","56950",""
"12","Level 1 Literacy","2013","0","0.905","0.154","50696","8652","56045",""
"12","Level 1 Literacy","2014","0","0.918","0.13","51524","7315","56137",""
"12","Level 1 Literacy","2015","0","0.922","0.123","50843","6791","55150",""
"12","Level 1 Literacy","2016","0","0.926","0.116","52797","6601","56994",""
"12","Level 1 Literacy","2017","0","0.928","0.11","52946","6284","57045",""
"12","Level 1 Literacy","2018","0","0.933","0.112","51552","6198","55278",""
"13","Level 1 Literacy","2009","0","0.906","0.039","39109","1674","43144",""
"13","Level 1 Literacy","2010","0","0.908","0.04","41569","1853","45786",""
"13","Level 1 Literacy","2011","0","0.91","0.034","42389","1577","46599",""
"13","Level 1 Literacy","2012","0","0.915","0.038","43657","1822","47731",""
"13","Level 1 Literacy","2013","0","0.922","0.047","45469","2301","49305",""
"13","Level 1 Literacy","2014","0","0.933","0.034","44169","1590","47341",""
"13","Level 1 Literacy","2015","0","0.936","0.03","45769","1472","48885",""
"13","Level 1 Literacy","2016","0","0.939","0.03","45350","1438","48306",""
"13","Level 1 Literacy","2017","0","0.942","0.026","46206","1251","49052",""
"13","Level 1 Literacy","2018","0","0.944","0.026","45059","1220","47747",""
"11","Level 1 Numeracy","2009","1","0.816","0.799","52461","51364","64296",""
"11","Level 1 Numeracy","2010","1","0.83","0.811","53077","51888","63946",""
"11","Level 1 Numeracy","2011","1","0.824","0.802","52254","50866","63390",""
"11","Level 1 Numeracy","2012","1","0.804","0.785","49175","48011","61192",""
"11","Level 1 Numeracy","2013","1","0.811","0.796","49648","48776","61256",""
"11","Level 1 Numeracy","2014","1","0.829","0.819","49366","48770","59538",""
"11","Level 1 Numeracy","2015","1","0.846","0.837","51383","50812","60725",""
"11","Level 1 Numeracy","2016","1","0.851","0.842","51832","51297","60942",""
"11","Level 1 Numeracy","2017","1","0.855","0.846","50707","50165","59297",""
"11","Level 1 Numeracy","2018","1","0.844","0.834","50114","49534","59392",""
"12","Level 1 Numeracy","2009","0","0.903","0.147","50897","8298","56344",""
"12","Level 1 Numeracy","2010","0","0.914","0.154","52102","8805","57020",""
"12","Level 1 Numeracy","2011","0","0.916","0.139","52402","7930","57223",""
"12","Level 1 Numeracy","2012","0","0.905","0.136","51520","7722","56950",""
"12","Level 1 Numeracy","2013","0","0.891","0.151","49961","8470","56045",""
"12","Level 1 Numeracy","2014","0","0.904","0.129","50726","7214","56137",""
"12","Level 1 Numeracy","2015","0","0.91","0.121","50182","6698","55150",""
"12","Level 1 Numeracy","2016","0","0.918","0.114","52307","6522","56994",""
"12","Level 1 Numeracy","2017","0","0.92","0.108","52499","6165","57045",""
"12","Level 1 Numeracy","2018","0","0.924","0.111","51101","6122","55278",""
"13","Level 1 Numeracy","2009","0","0.928","0.042","40041","1794","43144",""
"13","Level 1 Numeracy","2010","0","0.931","0.042","42613","1919","45786",""
"13","Level 1 Numeracy","2011","0","0.931","0.033","43387","1528","46599",""
"13","Level 1 Numeracy","2012","0","0.931","0.035","44429","1682","47731",""
"13","Level 1 Numeracy","2013","0","0.924","0.044","45554","2167","49305",""
"13","Level 1 Numeracy","2014","0","0.924","0.032","43732","1496","47341",""
"13","Level 1 Numeracy","2015","0","0.928","0.029","45389","1417","48885",""
"13","Level 1 Numeracy","2016","0","0.931","0.028","44990","1361","48306",""
"13","Level 1 Numeracy","2017","0","0.937","0.025","45943","1206","49052",""
"13","Level 1 Numeracy","2018","0","0.938","0.025","44783","1176","47747",""
