"Year Level","Qualification","School Decile Band","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","Level 1 Literacy","Decile 1-3","2009","1","0.61","0.591","7170","6947","11762",""
"11","Level 1 Literacy","Decile 1-3","2010","1","0.654","0.635","7464","7247","11417",""
"11","Level 1 Literacy","Decile 1-3","2011","1","0.691","0.668","7869","7609","11383",""
"11","Level 1 Literacy","Decile 1-3","2012","1","0.748","0.718","8502","8160","11365",""
"11","Level 1 Literacy","Decile 1-3","2013","1","0.774","0.747","8504","8209","10994",""
"11","Level 1 Literacy","Decile 1-3","2014","1","0.793","0.77","8478","8233","10689",""
"11","Level 1 Literacy","Decile 1-3","2015","1","0.806","0.786","9624","9389","11945",""
"11","Level 1 Literacy","Decile 1-3","2016","1","0.81","0.789","9558","9314","11807",""
"11","Level 1 Literacy","Decile 1-3","2017","1","0.808","0.785","9216","8948","11399",""
"11","Level 1 Literacy","Decile 1-3","2018","1","0.789","0.763","8863","8569","11227",""
"11","Level 1 Literacy","Decile 4-7","2009","1","0.742","0.728","20096","19714","27072",""
"11","Level 1 Literacy","Decile 4-7","2010","1","0.764","0.752","20688","20355","27079",""
"11","Level 1 Literacy","Decile 4-7","2011","1","0.82","0.805","21803","21419","26593",""
"11","Level 1 Literacy","Decile 4-7","2012","1","0.848","0.835","21263","20934","25078",""
"11","Level 1 Literacy","Decile 4-7","2013","1","0.863","0.851","21745","21448","25189",""
"11","Level 1 Literacy","Decile 4-7","2014","1","0.882","0.871","21537","21268","24418",""
"11","Level 1 Literacy","Decile 4-7","2015","1","0.896","0.884","23478","23158","26202",""
"11","Level 1 Literacy","Decile 4-7","2016","1","0.893","0.883","23632","23350","26455",""
"11","Level 1 Literacy","Decile 4-7","2017","1","0.9","0.89","23029","22769","25580",""
"11","Level 1 Literacy","Decile 4-7","2018","1","0.888","0.878","22734","22472","25601",""
