"Year Level","Qualification","Ethnicity","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","Maori","2009","1","0.423","0.415","6058","5941","14315",""
"11","NCEA Level 1","Maori","2010","1","0.439","0.431","6451","6330","14695",""
"11","NCEA Level 1","Maori","2011","1","0.45","0.44","6737","6579","14967",""
"11","NCEA Level 1","Maori","2012","1","0.477","0.465","6820","6641","14293",""
"11","NCEA Level 1","Maori","2013","1","0.537","0.527","7790","7642","14495",""
"11","NCEA Level 1","Maori","2014","1","0.584","0.576","8269","8165","14171",""
"11","NCEA Level 1","Maori","2015","1","0.614","0.607","9034","8921","14702",""
"11","NCEA Level 1","Maori","2016","1","0.632","0.624","9515","9389","15052",""
"11","NCEA Level 1","Maori","2017","1","0.629","0.622","9070","8962","14410",""
"11","NCEA Level 1","Maori","2018","1","0.584","0.577","8422","8308","14410",""
"11","NCEA Level 1","European","2009","1","0.688","0.68","28416","28113","41320",""
"11","NCEA Level 1","European","2010","1","0.713","0.705","29091","28790","40809",""
"11","NCEA Level 1","European","2011","1","0.715","0.707","28629","28301","40049",""
"11","NCEA Level 1","European","2012","1","0.735","0.725","28321","27967","38556",""
"11","NCEA Level 1","European","2013","1","0.768","0.76","29750","29467","38747",""
"11","NCEA Level 1","European","2014","1","0.788","0.781","29795","29536","37805",""
"11","NCEA Level 1","European","2015","1","0.802","0.796","30759","30524","38358",""
"11","NCEA Level 1","European","2016","1","0.808","0.803","31139","30916","38515",""
"11","NCEA Level 1","European","2017","1","0.805","0.798","30442","30189","37821",""
"11","NCEA Level 1","European","2018","1","0.78","0.774","29305","29097","37571",""
"11","NCEA Level 1","Pacific Peoples","2009","1","0.423","0.42","2900","2879","6848",""
"11","NCEA Level 1","Pacific Peoples","2010","1","0.443","0.441","3063","3050","6915",""
"11","NCEA Level 1","Pacific Peoples","2011","1","0.466","0.464","3279","3265","7030",""
"11","NCEA Level 1","Pacific Peoples","2012","1","0.5","0.495","3516","3481","7039",""
"11","NCEA Level 1","Pacific Peoples","2013","1","0.588","0.584","4089","4062","6957",""
"11","NCEA Level 1","Pacific Peoples","2014","1","0.626","0.623","4344","4321","6940",""
"11","NCEA Level 1","Pacific Peoples","2015","1","0.667","0.664","4804","4780","7201",""
"11","NCEA Level 1","Pacific Peoples","2016","1","0.668","0.665","4942","4914","7395",""
"11","NCEA Level 1","Pacific Peoples","2017","1","0.671","0.667","4978","4952","7423",""
"11","NCEA Level 1","Pacific Peoples","2018","1","0.628","0.624","4623","4596","7365",""
"11","NCEA Level 1","Asian","2009","1","0.649","0.644","3939","3909","6072",""
"11","NCEA Level 1","Asian","2010","1","0.683","0.679","4094","4073","5996",""
"11","NCEA Level 1","Asian","2011","1","0.693","0.689","4300","4274","6206",""
"11","NCEA Level 1","Asian","2012","1","0.703","0.697","4405","4370","6270",""
"11","NCEA Level 1","Asian","2013","1","0.727","0.721","4684","4649","6445",""
"11","NCEA Level 1","Asian","2014","1","0.741","0.734","4698","4653","6338",""
"11","NCEA Level 1","Asian","2015","1","0.765","0.759","5160","5120","6745",""
"11","NCEA Level 1","Asian","2016","1","0.777","0.772","5375","5342","6917",""
"11","NCEA Level 1","Asian","2017","1","0.773","0.768","5178","5143","6700",""
"11","NCEA Level 1","Asian","2018","1","0.769","0.761","5674","5615","7375",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2009","1","0.6","0.596","631","627","1052",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2010","1","0.624","0.624","717","717","1149",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2011","1","0.644","0.64","704","700","1094",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2012","1","0.663","0.662","705","704","1064",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2013","1","0.72","0.715","753","748","1046",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2014","1","0.719","0.716","750","747","1043",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2015","1","0.761","0.757","810","806","1065",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2016","1","0.745","0.741","854","850","1147",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2017","1","0.765","0.762","835","831","1091",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2018","1","0.74","0.736","839","835","1134",""
"12","NCEA Level 1","Maori","2009","0","0.662","0.156","7057","1662","10660",""
"12","NCEA Level 1","Maori","2010","0","0.7","0.168","7804","1875","11156",""
"12","NCEA Level 1","Maori","2011","0","0.71","0.159","8181","1829","11518",""
"12","NCEA Level 1","Maori","2012","0","0.724","0.167","8563","1974","11820",""
"12","NCEA Level 1","Maori","2013","0","0.772","0.202","9102","2376","11787",""
"12","NCEA Level 1","Maori","2014","0","0.814","0.169","9598","1996","11787",""
"12","NCEA Level 1","Maori","2015","0","0.839","0.164","9984","1947","11895",""
"12","NCEA Level 1","Maori","2016","0","0.857","0.15","10766","1891","12567",""
"12","NCEA Level 1","Maori","2017","0","0.855","0.138","11042","1785","12916",""
"12","NCEA Level 1","Maori","2018","0","0.855","0.133","10412","1620","12183",""
"12","NCEA Level 1","European","2009","0","0.85","0.104","31592","3860","37159",""
"12","NCEA Level 1","European","2010","0","0.86","0.111","32127","4155","37342",""
"12","NCEA Level 1","European","2011","0","0.869","0.098","32399","3638","37289",""
"12","NCEA Level 1","European","2012","0","0.869","0.098","31937","3612","36761",""
