"Year Level","Qualification","Gender","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","Female","2009","1","0.654","0.647","20420","20205","31219",""
"11","NCEA Level 1","Female","2010","1","0.676","0.669","21199","20985","31374",""
"11","NCEA Level 1","Female","2011","1","0.683","0.676","21000","20761","30730",""
"11","NCEA Level 1","Female","2012","1","0.703","0.695","20999","20754","29866",""
"11","NCEA Level 1","Female","2013","1","0.747","0.74","22312","22099","29858",""
"11","NCEA Level 1","Female","2014","1","0.77","0.764","22248","22090","28898",""
"11","NCEA Level 1","Female","2015","1","0.788","0.784","23372","23245","29645",""
"11","NCEA Level 1","Female","2016","1","0.791","0.786","23546","23387","29750",""
"11","NCEA Level 1","Female","2017","1","0.792","0.786","23011","22836","29067",""
"11","NCEA Level 1","Female","2018","1","0.768","0.762","22163","22002","28875",""
"11","NCEA Level 1","Male","2009","1","0.561","0.555","18569","18340","33072",""
"11","NCEA Level 1","Male","2010","1","0.582","0.575","18944","18720","32557",""
"11","NCEA Level 1","Male","2011","1","0.587","0.579","19159","18891","32644",""
"11","NCEA Level 1","Male","2012","1","0.607","0.597","19017","18704","31311",""
"11","NCEA Level 1","Male","2013","1","0.653","0.645","20481","20233","31376",""
"11","NCEA Level 1","Male","2014","1","0.68","0.672","20816","20577","30613",""
"11","NCEA Level 1","Male","2015","1","0.703","0.695","21822","21571","31055",""
"11","NCEA Level 1","Male","2016","1","0.716","0.709","22318","22105","31184",""
"11","NCEA Level 1","Male","2017","1","0.71","0.704","21464","21264","30226",""
"11","NCEA Level 1","Male","2018","1","0.682","0.675","20809","20595","30517",""
"12","NCEA Level 1","Female","2009","0","0.823","0.113","23124","3169","28095",""
"12","NCEA Level 1","Female","2010","0","0.838","0.121","23660","3415","28239",""
"12","NCEA Level 1","Female","2011","0","0.847","0.11","24140","3129","28509",""
"12","NCEA Level 1","Female","2012","0","0.848","0.108","23943","3046","28222",""
"12","NCEA Level 1","Female","2013","0","0.871","0.123","24312","3427","27916",""
"12","NCEA Level 1","Female","2014","0","0.893","0.1","24895","2791","27863",""
"12","NCEA Level 1","Female","2015","0","0.901","0.094","24506","2562","27191",""
"12","NCEA Level 1","Female","2016","0","0.907","0.09","25682","2551","28303",""
"12","NCEA Level 1","Female","2017","0","0.908","0.087","25698","2462","28289",""
"12","NCEA Level 1","Female","2018","0","0.909","0.085","25039","2353","27535",""
"12","NCEA Level 1","Male","2009","0","0.757","0.134","21388","3790","28239",""
"12","NCEA Level 1","Male","2010","0","0.774","0.141","22264","4055","28776",""
"12","NCEA Level 1","Male","2011","0","0.78","0.128","22395","3681","28700",""
"12","NCEA Level 1","Male","2012","0","0.791","0.135","22714","3885","28715",""
"12","NCEA Level 1","Male","2013","0","0.823","0.157","23143","4409","28117",""
"12","NCEA Level 1","Male","2014","0","0.846","0.133","23892","3755","28255",""
"12","NCEA Level 1","Male","2015","0","0.857","0.126","23936","3525","27933",""
"12","NCEA Level 1","Male","2016","0","0.868","0.117","24896","3361","28666",""
"12","NCEA Level 1","Male","2017","0","0.871","0.108","25049","3118","28748",""
"12","NCEA Level 1","Male","2018","0","0.87","0.112","24136","3116","27742",""
"13","NCEA Level 1","Female","2009","0","0.893","0.029","19914","647","22311",""
"13","NCEA Level 1","Female","2010","0","0.898","0.031","21054","732","23445",""
"13","NCEA Level 1","Female","2011","0","0.9","0.024","21481","580","23873",""
"13","NCEA Level 1","Female","2012","0","0.906","0.026","22474","647","24793",""
"13","NCEA Level 1","Female","2013","0","0.907","0.038","23117","975","25493",""
"13","NCEA Level 1","Female","2014","0","0.922","0.025","22523","599","24434",""
"13","NCEA Level 1","Female","2015","0","0.928","0.023","23472","586","25293",""
"13","NCEA Level 1","Female","2016","0","0.93","0.022","23223","547","24967",""
"13","NCEA Level 1","Female","2017","0","0.936","0.019","23907","492","25548",""
"13","NCEA Level 1","Female","2018","0","0.938","0.019","23333","477","24869",""
"13","NCEA Level 1","Male","2009","0","0.842","0.033","17540","694","20828",""
"13","NCEA Level 1","Male","2010","0","0.845","0.035","18881","782","22332",""
"13","NCEA Level 1","Male","2011","0","0.849","0.029","19297","666","22721",""
"13","NCEA Level 1","Male","2012","0","0.859","0.037","19692","837","22927",""
"13","NCEA Level 1","Male","2013","0","0.872","0.048","20746","1151","23800",""
"13","NCEA Level 1","Male","2014","0","0.887","0.03","20301","677","22896",""
