"Year Level","Qualification","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","2009","1","0.606","0.6","38992","38548","64296",""
"11","NCEA Level 1","2010","1","0.628","0.621","40150","39712","63946",""
"11","NCEA Level 1","2011","1","0.634","0.626","40165","39658","63390",""
"11","NCEA Level 1","2012","1","0.654","0.645","40023","39465","61192",""
"11","NCEA Level 1","2013","1","0.699","0.691","42810","42349","61256",""
"11","NCEA Level 1","2014","1","0.724","0.717","43084","42687","59538",""
"11","NCEA Level 1","2015","1","0.745","0.738","45213","44835","60725",""
"11","NCEA Level 1","2016","1","0.753","0.747","45871","45499","60942",""
"11","NCEA Level 1","2017","1","0.75","0.744","44477","44102","59297",""
"11","NCEA Level 1","2018","1","0.724","0.717","42972","42597","59392",""
"12","NCEA Level 1","2009","0","0.79","0.124","44518","6959","56344",""
"12","NCEA Level 1","2010","0","0.805","0.131","45928","7471","57020",""
"12","NCEA Level 1","2011","0","0.813","0.119","46545","6813","57223",""
"12","NCEA Level 1","2012","0","0.819","0.122","46667","6935","56950",""
"12","NCEA Level 1","2013","0","0.847","0.14","47466","7840","56045",""
"12","NCEA Level 1","2014","0","0.869","0.117","48804","6546","56137",""
"12","NCEA Level 1","2015","0","0.879","0.11","48465","6090","55150",""
"12","NCEA Level 1","2016","0","0.888","0.104","50601","5916","56994",""
"12","NCEA Level 1","2017","0","0.89","0.098","50754","5580","57045",""
"12","NCEA Level 1","2018","0","0.89","0.099","49176","5469","55278",""
"13","NCEA Level 1","2009","0","0.868","0.031","37457","1341","43144",""
"13","NCEA Level 1","2010","0","0.872","0.033","39941","1514","45786",""
"13","NCEA Level 1","2011","0","0.875","0.027","40782","1246","46599",""
"13","NCEA Level 1","2012","0","0.884","0.031","42173","1484","47731",""
"13","NCEA Level 1","2013","0","0.89","0.043","43874","2127","49305",""
"13","NCEA Level 1","2014","0","0.905","0.027","42835","1276","47341",""
"13","NCEA Level 1","2015","0","0.912","0.024","44561","1193","48885",""
"13","NCEA Level 1","2016","0","0.916","0.024","44229","1147","48306",""
"13","NCEA Level 1","2017","0","0.922","0.021","45227","1010","49052",""
"13","NCEA Level 1","2018","0","0.924","0.021","44108","984","47747",""
"11","NCEA Level 2","2009","0","0.013","0.012","833","745","64296",""
"11","NCEA Level 2","2010","0","0.015","0.013","930","808","63946",""
"11","NCEA Level 2","2011","0","0.014","0.012","896","753","63390",""
"11","NCEA Level 2","2012","0","0.015","0.012","892","729","61192",""
"11","NCEA Level 2","2013","0","0.016","0.014","963","874","61256",""
"11","NCEA Level 2","2014","0","0.015","0.014","881","842","59538",""
"11","NCEA Level 2","2015","0","0.015","0.015","922","882","60725",""
"11","NCEA Level 2","2016","0","0.016","0.015","976","920","60942",""
"11","NCEA Level 2","2017","0","0.018","0.017","1046","1013","59297",""
"11","NCEA Level 2","2018","0","0.013","0.012","768","740","59392",""
"12","NCEA Level 2","2009","1","0.617","0.6","34756","33812","56344",""
"12","NCEA Level 2","2010","1","0.639","0.621","36430","35386","57020",""
"12","NCEA Level 2","2011","1","0.662","0.642","37886","36721","57223",""
"12","NCEA Level 2","2012","1","0.678","0.657","38596","37433","56950",""
"12","NCEA Level 2","2013","1","0.713","0.693","39968","38850","56045",""
"12","NCEA Level 2","2014","1","0.75","0.729","42099","40941","56137",""
"12","NCEA Level 2","2015","1","0.763","0.745","42065","41096","55150",""
"12","NCEA Level 2","2016","1","0.784","0.764","44711","43528","56994",""
"12","NCEA Level 2","2017","1","0.785","0.764","44767","43582","57045",""
"12","NCEA Level 2","2018","1","0.776","0.754","42891","41668","55278",""
"13","NCEA Level 2","2009","0","0.806","0.103","34785","4464","43144",""
"13","NCEA Level 2","2010","0","0.814","0.115","37256","5281","45786",""
"13","NCEA Level 2","2011","0","0.82","0.105","38212","4909","46599",""
"13","NCEA Level 2","2012","0","0.836","0.102","39899","4883","47731",""
"13","NCEA Level 2","2013","0","0.838","0.106","41330","5227","49305",""
"13","NCEA Level 2","2014","0","0.861","0.088","40758","4158","47341",""
"13","NCEA Level 2","2015","0","0.872","0.076","42635","3699","48885",""
"13","NCEA Level 2","2016","0","0.877","0.072","42352","3480","48306",""
"13","NCEA Level 2","2017","0","0.889","0.063","43594","3074","49052",""
"13","NCEA Level 2","2018","0","0.89","0.061","42490","2927","47747",""
"11","NCEA Level 3","2009","0","0.001","0.001","68","48","64296",""
"11","NCEA Level 3","2010","0","0.001","0.001","75","58","63946",""
"11","NCEA Level 3","2011","0","0.001","0.001","78","65","63390",""
"11","NCEA Level 3","2012","0","0.001","0.001","90","66","61192",""
"11","NCEA Level 3","2013","0","0.001","0.001","72","53","61256",""
"11","NCEA Level 3","2014","0","0.001","0","43","29","59538",""
"11","NCEA Level 3","2015","0","0.001","0","39","27","60725",""
"11","NCEA Level 3","2016","0","0.001","0.001","52","43","60942",""
"11","NCEA Level 3","2017","0","0.001","0.001","78","76","59297",""
"11","NCEA Level 3","2018","0","0.001","0.001","63","56","59392",""
"12","NCEA Level 3","2009","0","0.007","0.007","416","378","56344",""
"12","NCEA Level 3","2010","0","0.008","0.007","457","403","57020",""
"12","NCEA Level 3","2011","0","0.01","0.009","600","535","57223",""
