"Year Level","Qualification","School Decile Band","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","Decile 1-3","2009","1","0.447","0.44","5261","5173","11762",""
"11","NCEA Level 1","Decile 1-3","2010","1","0.468","0.462","5339","5269","11417",""
"11","NCEA Level 1","Decile 1-3","2011","1","0.454","0.445","5166","5062","11383",""
"11","NCEA Level 1","Decile 1-3","2012","1","0.48","0.468","5451","5318","11365",""
"11","NCEA Level 1","Decile 1-3","2013","1","0.558","0.549","6138","6041","10994",""
"11","NCEA Level 1","Decile 1-3","2014","1","0.585","0.577","6258","6172","10689",""
"11","NCEA Level 1","Decile 1-3","2015","1","0.617","0.612","7376","7306","11945",""
"11","NCEA Level 1","Decile 1-3","2016","1","0.634","0.625","7483","7384","11807",""
"11","NCEA Level 1","Decile 1-3","2017","1","0.634","0.627","7227","7145","11399",""
"11","NCEA Level 1","Decile 1-3","2018","1","0.584","0.575","6561","6460","11227",""
"11","NCEA Level 1","Decile 4-7","2009","1","0.615","0.607","16644","16436","27072",""
"11","NCEA Level 1","Decile 4-7","2010","1","0.635","0.628","17192","17011","27079",""
"11","NCEA Level 1","Decile 4-7","2011","1","0.647","0.639","17215","17002","26593",""
"11","NCEA Level 1","Decile 4-7","2012","1","0.669","0.661","16766","16589","25078",""
"11","NCEA Level 1","Decile 4-7","2013","1","0.713","0.707","17957","17802","25189",""
"11","NCEA Level 1","Decile 4-7","2014","1","0.746","0.739","18208","18050","24418",""
"11","NCEA Level 1","Decile 4-7","2015","1","0.772","0.763","20224","20004","26202",""
"11","NCEA Level 1","Decile 4-7","2016","1","0.781","0.775","20666","20492","26455",""
"11","NCEA Level 1","Decile 4-7","2017","1","0.782","0.775","20010","19826","25580",""
"11","NCEA Level 1","Decile 4-7","2018","1","0.752","0.745","19259","19083","25601",""
"11","NCEA Level 1","Decile 8-10","2009","1","0.722","0.72","16835","16777","23309",""
"11","NCEA Level 1","Decile 8-10","2010","1","0.749","0.746","17299","17233","23102",""
"11","NCEA Level 1","Decile 8-10","2011","1","0.761","0.758","17526","17448","23033",""
"11","NCEA Level 1","Decile 8-10","2012","1","0.773","0.767","17596","17460","22770",""
"11","NCEA Level 1","Decile 8-10","2013","1","0.799","0.793","18541","18407","23199",""
"11","NCEA Level 1","Decile 8-10","2014","1","0.807","0.802","18408","18294","22798",""
"11","NCEA Level 1","Decile 8-10","2015","1","0.832","0.829","17226","17153","20697",""
"11","NCEA Level 1","Decile 8-10","2016","1","0.832","0.829","17536","17465","21075",""
"11","NCEA Level 1","Decile 8-10","2017","1","0.819","0.815","17057","16965","20825",""
"11","NCEA Level 1","Decile 8-10","2018","1","0.81","0.806","16981","16896","20961",""
"12","NCEA Level 1","Decile 1-3","2009","0","0.677","0.174","6359","1632","9392",""
"12","NCEA Level 1","Decile 1-3","2010","0","0.712","0.182","6802","1736","9552",""
"12","NCEA Level 1","Decile 1-3","2011","0","0.712","0.169","6773","1605","9519",""
"12","NCEA Level 1","Decile 1-3","2012","0","0.737","0.191","7131","1852","9675",""
"12","NCEA Level 1","Decile 1-3","2013","0","0.792","0.234","7523","2217","9493",""
"12","NCEA Level 1","Decile 1-3","2014","0","0.822","0.182","7553","1669","9186",""
"12","NCEA Level 1","Decile 1-3","2015","0","0.85","0.184","8728","1889","10266",""
"12","NCEA Level 1","Decile 1-3","2016","0","0.858","0.166","8857","1709","10326",""
"12","NCEA Level 1","Decile 1-3","2017","0","0.856","0.152","8799","1562","10280",""
"12","NCEA Level 1","Decile 1-3","2018","0","0.851","0.143","8343","1400","9808",""
"12","NCEA Level 1","Decile 4-7","2009","0","0.821","0.134","19469","3174","23718",""
"12","NCEA Level 1","Decile 4-7","2010","0","0.832","0.142","19865","3380","23866",""
"12","NCEA Level 1","Decile 4-7","2011","0","0.842","0.132","19944","3125","23690",""
"12","NCEA Level 1","Decile 4-7","2012","0","0.849","0.133","19619","3061","23098",""
"12","NCEA Level 1","Decile 4-7","2013","0","0.888","0.151","19768","3367","22257",""
"12","NCEA Level 1","Decile 4-7","2014","0","0.906","0.128","20451","2901","22578",""
"12","NCEA Level 1","Decile 4-7","2015","0","0.919","0.111","21511","2590","23412",""
"12","NCEA Level 1","Decile 4-7","2016","0","0.924","0.106","22394","2567","24242",""
"12","NCEA Level 1","Decile 4-7","2017","0","0.927","0.098","22514","2382","24299",""
"12","NCEA Level 1","Decile 4-7","2018","0","0.925","0.096","21712","2262","23478",""
"12","NCEA Level 1","Decile 8-10","2009","0","0.848","0.093","18224","2002","21503",""
"12","NCEA Level 1","Decile 8-10","2010","0","0.862","0.101","18595","2168","21564",""
"12","NCEA Level 1","Decile 8-10","2011","0","0.869","0.087","19054","1899","21929",""
"12","NCEA Level 1","Decile 8-10","2012","0","0.879","0.085","19201","1863","21850",""
"12","NCEA Level 1","Decile 8-10","2013","0","0.892","0.094","19381","2039","21732",""
"12","NCEA Level 1","Decile 8-10","2014","0","0.902","0.08","20129","1780","22323",""
"12","NCEA Level 1","Decile 8-10","2015","0","0.905","0.073","17468","1401","19301",""
"12","NCEA Level 1","Decile 8-10","2016","0","0.915","0.069","18638","1406","20366",""
"12","NCEA Level 1","Decile 8-10","2017","0","0.917","0.07","18838","1438","20539",""
"12","NCEA Level 1","Decile 8-10","2018","0","0.919","0.083","18581","1676","20216",""
"13","NCEA Level 1","Decile 1-3","2009","0","0.813","0.059","5524","398","6796",""
"13","NCEA Level 1","Decile 1-3","2010","0","0.808","0.058","5982","431","7408",""
"13","NCEA Level 1","Decile 1-3","2011","0","0.831","0.05","6245","374","7518",""
"13","NCEA Level 1","Decile 1-3","2012","0","0.854","0.062","6655","487","7795",""
"13","NCEA Level 1","Decile 1-3","2013","0","0.883","0.084","6912","661","7824",""
"13","NCEA Level 1","Decile 1-3","2014","0","0.902","0.05","6932","385","7686",""
"13","NCEA Level 1","Decile 1-3","2015","0","0.919","0.047","7795","400","8479",""
"13","NCEA Level 1","Decile 1-3","2016","0","0.929","0.039","7922","331","8527",""
"13","NCEA Level 1","Decile 1-3","2017","0","0.93","0.031","7768","262","8350",""
"13","NCEA Level 1","Decile 1-3","2018","0","0.932","0.035","7732","291","8293",""
"13","NCEA Level 1","Decile 4-7","2009","0","0.897","0.03","15604","518","17388",""
"13","NCEA Level 1","Decile 4-7","2010","0","0.908","0.032","16875","600","18580",""
"13","NCEA Level 1","Decile 4-7","2011","0","0.906","0.027","17058","515","18825",""
"13","NCEA Level 1","Decile 4-7","2012","0","0.918","0.034","16888","617","18391",""
"13","NCEA Level 1","Decile 4-7","2013","0","0.931","0.047","17352","871","18636",""
"13","NCEA Level 1","Decile 4-7","2014","0","0.944","0.026","17148","465","18159",""
"13","NCEA Level 1","Decile 4-7","2015","0","0.953","0.022","18825","429","19749",""
"13","NCEA Level 1","Decile 4-7","2016","0","0.954","0.02","18531","383","19423",""
"13","NCEA Level 1","Decile 4-7","2017","0","0.957","0.018","18876","357","19729",""
"13","NCEA Level 1","Decile 4-7","2018","0","0.958","0.017","18655","336","19469",""
"13","NCEA Level 1","Decile 8-10","2009","0","0.89","0.019","15660","343","17596",""
