"Year Level","Qualification","Ethnicity","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Participant Count","Cohort Warning"
"11","NCEA Level 1","Maori","2015","1","0.775","0.765","9034","8921","11662",""
"11","NCEA Level 1","Maori","2016","1","0.795","0.785","9515","9389","11965",""
"11","NCEA Level 1","Maori","2017","1","0.795","0.785","9070","8962","11415",""
"11","NCEA Level 1","Maori","2018","1","0.76","0.75","8422","8308","11084",""
"11","NCEA Level 1","Maori","2019","1","0.765","0.752","8537","8393","11163",""
"11","NCEA Level 1","Maori","2020","1","0.824","0.813","9145","9021","11096",""
"11","NCEA Level 1","Maori","2021","1","0.798","0.782","9188","9006","11513",""
"11","NCEA Level 1","Maori","2022","1","0.766","0.749","9009","8814","11766",""
"11","NCEA Level 1","Maori","2023","1","0.726","0.712","9062","8886","12474",""
"11","NCEA Level 1","Maori","2024","1","0.604","0.579","7323","7027","12133",""
"11","NCEA Level 1","Pacific Peoples","2015","1","0.775","0.771","4804","4780","6202",""
"11","NCEA Level 1","Pacific Peoples","2016","1","0.776","0.771","4942","4914","6371",""
"11","NCEA Level 1","Pacific Peoples","2017","1","0.777","0.773","4978","4952","6403",""
"11","NCEA Level 1","Pacific Peoples","2018","1","0.737","0.733","4623","4596","6270",""
"11","NCEA Level 1","Pacific Peoples","2019","1","0.74","0.737","4714","4695","6371",""
"11","NCEA Level 1","Pacific Peoples","2020","1","0.826","0.823","5206","5185","6302",""
"11","NCEA Level 1","Pacific Peoples","2021","1","0.779","0.773","4882","4845","6271",""
"11","NCEA Level 1","Pacific Peoples","2022","1","0.732","0.726","4747","4708","6484",""
"11","NCEA Level 1","Pacific Peoples","2023","1","0.676","0.672","4712","4683","6968",""
"11","NCEA Level 1","Pacific Peoples","2024","1","0.546","0.539","3552","3508","6506",""
"11","NCEA Level 1","Asian","2015","1","0.921","0.914","5160","5120","5602",""
"11","NCEA Level 1","Asian","2016","1","0.927","0.921","5375","5342","5798",""
"11","NCEA Level 1","Asian","2017","1","0.923","0.917","5178","5143","5609",""
"11","NCEA Level 1","Asian","2018","1","0.913","0.903","5674","5615","6218",""
"11","NCEA Level 1","Asian","2019","1","0.906","0.901","5650","5623","6239",""
"11","NCEA Level 1","Asian","2020","1","0.932","0.926","5973","5936","6408",""
"11","NCEA Level 1","Asian","2021","1","0.927","0.919","5704","5654","6151",""
"11","NCEA Level 1","Asian","2022","1","0.908","0.9","5936","5885","6540",""
"11","NCEA Level 1","Asian","2023","1","0.863","0.853","6483","6401","7508",""
"11","NCEA Level 1","Asian","2024","1","0.754","0.745","5058","5002","6712",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2015","1","0.862","0.857","810","806","940",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2016","1","0.864","0.86","854","850","988",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2017","1","0.892","0.888","835","831","936",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2018","1","0.869","0.864","839","835","966",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2019","1","0.841","0.836","860","854","1022",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2020","1","0.903","0.9","982","978","1087",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2021","1","0.884","0.88","947","942","1071",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2022","1","0.852","0.845","918","910","1077",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2023","1","0.817","0.809","975","966","1194",""
"11","NCEA Level 1","Middle Eastern/Latin American/African","2024","1","0.713","0.711","734","732","1029",""
"11","NCEA Level 1","European","2015","1","0.9","0.893","30759","30524","34182",""
"11","NCEA Level 1","European","2016","1","0.909","0.902","31139","30916","34272",""
"11","NCEA Level 1","European","2017","1","0.904","0.896","30442","30189","33687",""
"11","NCEA Level 1","European","2018","1","0.888","0.882","29305","29097","33005",""
"11","NCEA Level 1","European","2019","1","0.888","0.881","29567","29357","33313",""
"11","NCEA Level 1","European","2020","1","0.913","0.908","29210","29030","31988",""
"11","NCEA Level 1","European","2021","1","0.908","0.9","29228","28984","32206",""
"11","NCEA Level 1","European","2022","1","0.883","0.871","28904","28533","32744",""
"11","NCEA Level 1","European","2023","1","0.857","0.847","28854","28490","33651",""
"11","NCEA Level 1","European","2024","1","0.776","0.764","22075","21724","28441",""
"12","NCEA Level 1","Maori","2015","0","0.942","0.184","9984","1947","10601",""
"12","NCEA Level 1","Maori","2016","0","0.949","0.167","10766","1891","11350",""
"12","NCEA Level 1","Maori","2017","0","0.952","0.154","11042","1785","11594",""
"12","NCEA Level 1","Maori","2018","0","0.951","0.148","10412","1620","10944",""
"12","NCEA Level 1","Maori","2019","0","0.944","0.173","10107","1854","10702",""
"12","NCEA Level 1","Maori","2020","0","0.947","0.177","10397","1938","10975",""
"12","NCEA Level 1","Maori","2021","0","0.951","0.159","10753","1802","11308",""
"12","NCEA Level 1","Maori","2022","0","0.936","0.147","10634","1669","11362",""
"12","NCEA Level 1","Maori","2023","0","0.934","0.18","10883","2098","11653",""
"12","NCEA Level 1","Maori","2024","0","0.895","0.181","11126","2255","12425",""
"12","NCEA Level 1","Pacific Peoples","2015","0","0.934","0.215","5564","1282","5956",""
