"Year Level","Qualification","Gender","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Participant Count","Cohort Warning"
"11","NCEA Level 1","Female","2015","1","0.895","0.89","23372","23245","26121",""
"11","NCEA Level 1","Female","2016","1","0.9","0.893","23546","23387","26175",""
"11","NCEA Level 1","Female","2017","1","0.898","0.891","23011","22836","25633",""
"11","NCEA Level 1","Female","2018","1","0.882","0.876","22163","22002","25124",""
"11","NCEA Level 1","Female","2019","1","0.883","0.877","22406","22234","25363",""
"11","NCEA Level 1","Female","2020","1","0.909","0.903","22012","21869","24217",""
"11","NCEA Level 1","Female","2021","1","0.898","0.891","21836","21675","24323",""
"11","NCEA Level 1","Female","2022","1","0.873","0.862","21046","20794","24115",""
"11","NCEA Level 1","Female","2023","1","0.839","0.83","21197","20988","25273",""
"11","NCEA Level 1","Female","2024","1","0.747","0.736","16166","15918","21630",""
"11","NCEA Level 1","Male","2015","1","0.841","0.831","21822","21571","25951",""
"11","NCEA Level 1","Male","2016","1","0.855","0.847","22318","22105","26094",""
"11","NCEA Level 1","Male","2017","1","0.85","0.842","21464","21264","25265",""
"11","NCEA Level 1","Male","2018","1","0.827","0.818","20809","20595","25169",""
"11","NCEA Level 1","Male","2019","1","0.826","0.818","20659","20472","25021",""
"11","NCEA Level 1","Male","2020","1","0.876","0.869","21822","21643","24906",""
"11","NCEA Level 1","Male","2021","1","0.86","0.849","21231","20944","24676",""
"11","NCEA Level 1","Male","2022","1","0.835","0.822","21287","20955","25489",""
"11","NCEA Level 1","Male","2023","1","0.8","0.787","21174","20831","26459",""
"11","NCEA Level 1","Male","2024","1","0.685","0.668","16000","15615","23360",""
"12","NCEA Level 1","Female","2015","0","0.974","0.102","24506","2562","25152",""
"12","NCEA Level 1","Female","2016","0","0.978","0.097","25682","2551","26264",""
"12","NCEA Level 1","Female","2017","0","0.977","0.094","25698","2462","26316",""
"12","NCEA Level 1","Female","2018","0","0.976","0.092","25039","2353","25642",""
"12","NCEA Level 1","Female","2019","0","0.973","0.108","24618","2729","25298",""
"12","NCEA Level 1","Female","2020","0","0.976","0.116","25263","2994","25876",""
"12","NCEA Level 1","Female","2021","0","0.975","0.129","25028","3317","25680",""
"12","NCEA Level 1","Female","2022","0","0.968","0.131","24869","3368","25686",""
"12","NCEA Level 1","Female","2023","0","0.96","0.169","25196","4425","26244",""
"12","NCEA Level 1","Female","2024","0","0.932","0.19","26256","5362","28180",""
"12","NCEA Level 1","Male","2015","0","0.958","0.141","23936","3525","24979",""
"12","NCEA Level 1","Male","2016","0","0.962","0.13","24896","3361","25874",""
"12","NCEA Level 1","Male","2017","0","0.966","0.12","25049","3118","25940",""
"12","NCEA Level 1","Male","2018","0","0.963","0.124","24136","3116","25058",""
"12","NCEA Level 1","Male","2019","0","0.959","0.143","23934","3562","24969",""
"12","NCEA Level 1","Male","2020","0","0.963","0.158","24416","4003","25348",""
"12","NCEA Level 1","Male","2021","0","0.966","0.139","25012","3593","25902",""
"12","NCEA Level 1","Male","2022","0","0.956","0.139","24367","3543","25500",""
"12","NCEA Level 1","Male","2023","0","0.951","0.171","25402","4557","26721",""
"12","NCEA Level 1","Male","2024","0","0.918","0.187","26075","5308","28401",""
"13","NCEA Level 1","Female","2015","0","0.987","0.025","23472","586","23792",""
"13","NCEA Level 1","Female","2016","0","0.987","0.023","23223","547","23518",""
"13","NCEA Level 1","Female","2017","0","0.989","0.02","23907","492","24162",""
"13","NCEA Level 1","Female","2018","0","0.99","0.02","23333","477","23573",""
"13","NCEA Level 1","Female","2019","0","0.989","0.019","22755","442","23010",""
"13","NCEA Level 1","Female","2020","0","0.99","0.025","22563","569","22786",""
"13","NCEA Level 1","Female","2021","0","0.99","0.018","23391","428","23619",""
"13","NCEA Level 1","Female","2022","0","0.989","0.019","22550","431","22808",""
"13","NCEA Level 1","Female","2023","0","0.985","0.028","22177","637","22512",""
"13","NCEA Level 1","Female","2024","0","0.974","0.037","23275","875","23903",""
"13","NCEA Level 1","Male","2015","0","0.98","0.028","21070","606","21503",""
"13","NCEA Level 1","Male","2016","0","0.982","0.028","20984","599","21359",""
"13","NCEA Level 1","Male","2017","0","0.985","0.024","21297","518","21618",""
"13","NCEA Level 1","Male","2018","0","0.985","0.024","20771","507","21092",""
"13","NCEA Level 1","Male","2019","0","0.985","0.027","20027","543","20337",""
"13","NCEA Level 1","Male","2020","0","0.986","0.031","20399","640","20693",""
"13","NCEA Level 1","Male","2021","0","0.986","0.025","20797","519","21083",""
"13","NCEA Level 1","Male","2022","0","0.984","0.02","20132","409","20450",""
"13","NCEA Level 1","Male","2023","0","0.982","0.03","19738","595","20090",""
"13","NCEA Level 1","Male","2024","0","0.968","0.038","21406","850","22103",""
