"Year Level","Qualification","Region","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate","Current Year Attainment Rate","Cumulative Year Attainment","Current Year Attainment","Total Participant Count","Cohort Warning"
"11","NCEA Level 1","Auckland","2015","1","0.862","0.859","14486","14432","16797",""
"11","NCEA Level 1","Auckland","2016","1","0.866","0.863","14505","14458","16750",""
"11","NCEA Level 1","Auckland","2017","1","0.861","0.858","14019","13961","16275",""
"11","NCEA Level 1","Auckland","2018","1","0.844","0.84","14012","13941","16594",""
"11","NCEA Level 1","Auckland","2019","1","0.847","0.844","13950","13896","16466",""
"11","NCEA Level 1","Auckland","2020","1","0.904","0.9","14121","14049","15618",""
"11","NCEA Level 1","Auckland","2021","1","0.878","0.872","13360","13263","15211",""
"11","NCEA Level 1","Auckland","2022","1","0.849","0.84","12943","12800","15241",""
"11","NCEA Level 1","Auckland","2023","1","0.801","0.791","12824","12668","16015",""
"11","NCEA Level 1","Auckland","2024","1","0.676","0.667","8250","8150","12212",""
"11","NCEA Level 1","Bay of Plenty","2015","1","0.865","0.85","3104","3049","3588",""
"11","NCEA Level 1","Bay of Plenty","2016","1","0.889","0.881","3140","3110","3531",""
"11","NCEA Level 1","Bay of Plenty","2017","1","0.872","0.861","3053","3015","3501",""
"11","NCEA Level 1","Bay of Plenty","2018","1","0.861","0.847","2929","2882","3402",""
"11","NCEA Level 1","Bay of Plenty","2019","1","0.866","0.85","3022","2967","3491",""
"11","NCEA Level 1","Bay of Plenty","2020","1","0.899","0.891","3288","3260","3659",""
"11","NCEA Level 1","Bay of Plenty","2021","1","0.891","0.872","3276","3205","3677",""
"11","NCEA Level 1","Bay of Plenty","2022","1","0.874","0.855","3217","3147","3682",""
"11","NCEA Level 1","Bay of Plenty","2023","1","0.88","0.857","3391","3301","3854",""
"11","NCEA Level 1","Bay of Plenty","2024","1","0.784","0.745","2776","2638","3539",""
"11","NCEA Level 1","Canterbury","2015","1","0.893","0.891","5752","5739","6440",""
"11","NCEA Level 1","Canterbury","2016","1","0.903","0.897","5784","5747","6408",""
"11","NCEA Level 1","Canterbury","2017","1","0.894","0.89","5777","5751","6463",""
"11","NCEA Level 1","Canterbury","2018","1","0.876","0.872","5505","5478","6285",""
"11","NCEA Level 1","Canterbury","2019","1","0.859","0.853","5688","5650","6625",""
"11","NCEA Level 1","Canterbury","2020","1","0.897","0.892","5638","5611","6288",""
"11","NCEA Level 1","Canterbury","2021","1","0.889","0.884","5462","5433","6145",""
"11","NCEA Level 1","Canterbury","2022","1","0.868","0.862","5495","5459","6332",""
"11","NCEA Level 1","Canterbury","2023","1","0.825","0.817","5444","5391","6596",""
"11","NCEA Level 1","Canterbury","2024","1","0.763","0.757","5100","5057","6684",""
"11","NCEA Level 1","Gisborne","2015","1","0.848","0.842","467","464","551",""
"11","NCEA Level 1","Gisborne","2016","1","0.833","0.822","483","477","580",""
"11","NCEA Level 1","Gisborne","2017","1","0.804","0.787","479","469","596",""
"11","NCEA Level 1","Gisborne","2018","1","0.751","0.736","456","447","607",""
"11","NCEA Level 1","Gisborne","2019","1","0.733","0.716","398","389","543",""
"11","NCEA Level 1","Gisborne","2020","1","0.819","0.817","438","437","535",""
"11","NCEA Level 1","Gisborne","2021","1","0.743","0.733","437","431","588",""
"11","NCEA Level 1","Gisborne","2022","1","0.75","0.741","423","418","564",""
"11","NCEA Level 1","Gisborne","2023","1","0.733","0.72","414","407","565",""
"11","NCEA Level 1","Gisborne","2024","1","0.707","0.675","405","387","573",""
"11","NCEA Level 1","Hawke's Bay","2015","1","0.904","0.896","1895","1879","2096",""
"11","NCEA Level 1","Hawke's Bay","2016","1","0.913","0.904","1912","1893","2094",""
"11","NCEA Level 1","Hawke's Bay","2017","1","0.915","0.893","1935","1889","2115",""
"11","NCEA Level 1","Hawke's Bay","2018","1","0.886","0.876","1706","1688","1926",""
"11","NCEA Level 1","Hawke's Bay","2019","1","0.877","0.872","1768","1758","2017",""
"11","NCEA Level 1","Hawke's Bay","2020","1","0.892","0.886","1812","1799","2031",""
"11","NCEA Level 1","Hawke's Bay","2021","1","0.894","0.881","1706","1682","1909",""
"11","NCEA Level 1","Hawke's Bay","2022","1","0.882","0.863","1831","1791","2075",""
"11","NCEA Level 1","Hawke's Bay","2023","1","0.848","0.819","1823","1761","2149",""
"11","NCEA Level 1","Hawke's Bay","2024","1","0.72","0.697","1456","1409","2021",""
"11","NCEA Level 1","Manawatu-Whanganui","2015","1","0.869","0.853","2329","2288","2681",""
"11","NCEA Level 1","Manawatu-Whanganui","2016","1","0.852","0.843","2376","2349","2788",""
"11","NCEA Level 1","Manawatu-Whanganui","2017","1","0.86","0.847","2296","2262","2671",""
"11","NCEA Level 1","Manawatu-Whanganui","2018","1","0.826","0.809","2086","2043","2524",""
"11","NCEA Level 1","Manawatu-Whanganui","2019","1","0.836","0.824","1981","1954","2370",""
"11","NCEA Level 1","Manawatu-Whanganui","2020","1","0.876","0.871","1929","1918","2202",""
"11","NCEA Level 1","Manawatu-Whanganui","2021","1","0.855","0.848","2031","2014","2375",""
"11","NCEA Level 1","Manawatu-Whanganui","2022","1","0.767","0.757","1774","1751","2312",""
"11","NCEA Level 1","Manawatu-Whanganui","2023","1","0.801","0.788","1751","1723","2187",""
"11","NCEA Level 1","Manawatu-Whanganui","2024","1","0.596","0.573","1258","1210","2111",""
"11","NCEA Level 1","Marlborough","2015","1","0.86","0.856","388","386","451",""
"11","NCEA Level 1","Marlborough","2016","1","0.791","0.789","337","336","426",""
"11","NCEA Level 1","Marlborough","2017","1","0.822","0.819","318","317","387",""
"11","NCEA Level 1","Marlborough","2018","1","0.745","0.736","324","320","435",""
"11","NCEA Level 1","Marlborough","2019","1","0.765","0.761","346","344","452",""
"11","NCEA Level 1","Marlborough","2020","1","0.771","0.766","307","305","398",""
"11","NCEA Level 1","Marlborough","2021","1","0.845","0.843","376","375","445",""
"11","NCEA Level 1","Marlborough","2022","1","0.812","0.807","315","313","388",""
"11","NCEA Level 1","Marlborough","2023","1","0.745","0.736","331","327","444",""
"11","NCEA Level 1","Marlborough","2024","1","0.658","0.652","204","202","310",""
"11","NCEA Level 1","Nelson","2015","1","0.858","0.857","671","670","782",""
"11","NCEA Level 1","Nelson","2016","1","0.847","0.844","635","633","750",""
"11","NCEA Level 1","Nelson","2017","1","0.897","0.888","619","613","690",""
"11","NCEA Level 1","Nelson","2018","1","0.841","0.841","582","582","692",""
"11","NCEA Level 1","Nelson","2019","1","0.862","0.858","612","609","710",""
"11","NCEA Level 1","Nelson","2020","1","0.858","0.851","614","609","716",""
