"Year Level","Qualification","Gender","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate - Excellence Endorsement","Current Year Attainment Rate - Excellence Endorsement","Cumulative Year Attainment Rate - Merit Endorsement","Current Year Attainment Rate - Merit Endorsement","Cumulative Year Attainment Rate - No Endorsement","Current Year Attainment Rate - No Endorsement","Cumulative Year Attainment - Excellence Endorsement","Current Year Attainment - Excellence Endorsement","Cumulative Year Attainment - Merit Endorsement","Current Year Attainment - Merit Endorsement","Cumulative Year Attainment - No Endorsement","Current Year Attainment - No Endorsement","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","Female","2015","1","0.251","0.251","0.358","0.36","0.39","0.389","5875","5840","8375","8362","9122","9043","23372","23245","29645",""
"11","NCEA Level 1","Female","2016","1","0.257","0.258","0.36","0.361","0.383","0.381","6055","6027","8469","8443","9022","8917","23546","23387","29750",""
"11","NCEA Level 1","Female","2017","1","0.262","0.262","0.364","0.366","0.374","0.372","6023","5979","8378","8354","8610","8503","23011","22836","29067",""
"11","NCEA Level 1","Female","2018","1","0.263","0.263","0.381","0.383","0.355","0.354","5832","5789","8454","8424","7877","7789","22163","22002","28875",""
"11","NCEA Level 1","Female","2019","1","0.256","0.256","0.38","0.381","0.364","0.362","5746","5702","8509","8477","8151","8055","22406","22234","29899",""
"11","NCEA Level 1","Female","2020","1","0.268","0.268","0.366","0.367","0.366","0.365","5894","5855","8058","8022","8060","7992","22012","21869","29702",""
"11","NCEA Level 1","Female","2021","1","0.273","0.274","0.354","0.355","0.373","0.371","5972","5933","7723","7690","8141","8052","21836","21675","30553",""
"11","NCEA Level 1","Female","2022","1","0.256","0.256","0.352","0.355","0.392","0.389","5384","5326","7418","7378","8244","8090","21046","20794","31633",""
"11","NCEA Level 1","Female","2023","1","0.216","0.217","0.361","0.363","0.423","0.42","4586","4554","7648","7620","8963","8814","21197","20988","33478",""
"11","NCEA Level 1","Female","2024","1","0.138","0.138","0.338","0.341","0.523","0.521","2234","2199","5472","5430","8460","8289","16166","15918","33778",""
"11","NCEA Level 1","Male","2015","1","0.12","0.119","0.295","0.296","0.585","0.585","2617","2575","6431","6379","12774","12617","21822","21571","31055",""
"11","NCEA Level 1","Male","2016","1","0.134","0.134","0.295","0.296","0.571","0.57","2988","2967","6588","6548","12742","12590","22318","22105","31184",""
"11","NCEA Level 1","Male","2017","1","0.133","0.133","0.293","0.294","0.574","0.573","2852","2819","6288","6261","12324","12184","21464","21264","30226",""
"11","NCEA Level 1","Male","2018","1","0.144","0.144","0.302","0.303","0.554","0.553","2998","2959","6283","6246","11528","11390","20809","20595","30517",""
"11","NCEA Level 1","Male","2019","1","0.137","0.137","0.295","0.296","0.568","0.567","2829","2803","6095","6068","11735","11601","20659","20472","31079",""
"11","NCEA Level 1","Male","2020","1","0.146","0.145","0.281","0.282","0.574","0.573","3185","3141","6122","6094","12515","12408","21822","21643","31342",""
"11","NCEA Level 1","Male","2021","1","0.147","0.147","0.283","0.285","0.571","0.568","3116","3075","6001","5974","12114","11895","21231","20944","31702",""
"11","NCEA Level 1","Male","2022","1","0.133","0.133","0.277","0.279","0.59","0.587","2830","2790","5888","5855","12569","12310","21287","20955","33580",""
"11","NCEA Level 1","Male","2023","1","0.117","0.117","0.267","0.269","0.616","0.614","2478","2439","5650","5610","13046","12782","21174","20831","35235",""
"11","NCEA Level 1","Male","2024","1","0.085","0.084","0.225","0.226","0.69","0.69","1356","1311","3605","3533","11039","10771","16000","15615","36219",""
"11","NCEA Level 2","Female","2015","0","0.207","0.217","0.074","0.075","0.719","0.709","81","81","29","28","282","265","392","374","29645",""
"11","NCEA Level 2","Female","2016","0","0.19","0.199","0.076","0.078","0.734","0.723","80","79","32","31","309","287","421","397","29750",""
"11","NCEA Level 2","Female","2017","0","0.167","0.17","0.109","0.106","0.724","0.725","78","77","51","48","338","329","467","454","29067",""
"11","NCEA Level 2","Female","2018","0","0.245","0.247","0.242","0.247","0.513","0.506","85","84","84","84","178","172","347","340","28875",""
"11","NCEA Level 2","Female","2019","0","0.24","0.245","0.293","0.305","0.467","0.45","91","86","111","107","177","158","379","351","29899",""
"11","NCEA Level 2","Female","2020","0","0.155","0.151","0.272","0.267","0.573","0.582","79","74","139","131","293","286","511","491","29702",""
"11","NCEA Level 2","Female","2021","0","0.189","0.192","0.212","0.216","0.598","0.592","98","94","110","106","310","290","518","490","30553",""
"11","NCEA Level 2","Female","2022","0","0.192","0.206","0.209","0.222","0.6","0.572","100","99","109","107","313","275","522","481","31633",""
"11","NCEA Level 2","Female","2023","0","0.222","0.232","0.156","0.158","0.622","0.61","107","107","75","73","299","281","481","461","33478",""
"11","NCEA Level 2","Female","2024","0","0.21","0.219","0.199","0.206","0.591","0.576","90","85","85","80","253","224","428","389","33778",""
