"Year Level","Qualification","Region","Academic Year","Typical Level Flag","Cumulative Year Attainment Rate - Excellence Endorsement","Current Year Attainment Rate - Excellence Endorsement","Cumulative Year Attainment Rate - Merit Endorsement","Current Year Attainment Rate - Merit Endorsement","Cumulative Year Attainment Rate - No Endorsement","Current Year Attainment Rate - No Endorsement","Cumulative Year Attainment - Excellence Endorsement","Current Year Attainment - Excellence Endorsement","Cumulative Year Attainment - Merit Endorsement","Current Year Attainment - Merit Endorsement","Cumulative Year Attainment - No Endorsement","Current Year Attainment - No Endorsement","Cumulative Year Attainment","Current Year Attainment","Total Student Count","Cohort Warning"
"11","NCEA Level 1","Auckland","2015","1","0.215","0.216","0.346","0.347","0.439","0.438","3117","3111","5008","5003","6361","6318","14486","14432","20374",""
"11","NCEA Level 1","Auckland","2016","1","0.226","0.226","0.341","0.342","0.433","0.432","3280","3274","4946","4941","6279","6243","14505","14458","20359",""
"11","NCEA Level 1","Auckland","2017","1","0.226","0.226","0.345","0.347","0.429","0.428","3165","3154","4842","4838","6012","5969","14019","13961","19628",""
"11","NCEA Level 1","Auckland","2018","1","0.239","0.239","0.358","0.359","0.403","0.402","3347","3332","5019","5006","5646","5603","14012","13941","19949",""
"11","NCEA Level 1","Auckland","2019","1","0.229","0.229","0.361","0.362","0.41","0.409","3200","3185","5036","5030","5714","5681","13950","13896","20162",""
"11","NCEA Level 1","Auckland","2020","1","0.239","0.239","0.337","0.337","0.424","0.424","3370","3354","4760","4738","5991","5957","14121","14049","20215",""
"11","NCEA Level 1","Auckland","2021","1","0.282","0.283","0.334","0.336","0.384","0.382","3769","3747","4462","4454","5129","5062","13360","13263","20526",""
"11","NCEA Level 1","Auckland","2022","1","0.231","0.231","0.329","0.331","0.44","0.438","2992","2957","4252","4232","5699","5611","12943","12800","21537",""
"11","NCEA Level 1","Auckland","2023","1","0.199","0.199","0.341","0.344","0.46","0.457","2547","2517","4373","4356","5904","5795","12824","12668","22920",""
"11","NCEA Level 1","Auckland","2024","1","0.122","0.121","0.31","0.312","0.568","0.567","1004","985","2556","2541","4690","4624","8250","8150","23264",""
"11","NCEA Level 1","Bay of Plenty","2015","1","0.167","0.168","0.304","0.307","0.529","0.525","519","511","944","936","1641","1602","3104","3049","4089",""
"11","NCEA Level 1","Bay of Plenty","2016","1","0.188","0.189","0.301","0.303","0.511","0.508","590","587","946","942","1604","1581","3140","3110","4053",""
"11","NCEA Level 1","Bay of Plenty","2017","1","0.18","0.178","0.299","0.302","0.521","0.52","550","538","912","910","1591","1567","3053","3015","3990",""
"11","NCEA Level 1","Bay of Plenty","2018","1","0.198","0.198","0.317","0.32","0.485","0.482","580","571","928","921","1421","1390","2929","2882","3929",""
"11","NCEA Level 1","Bay of Plenty","2019","1","0.179","0.178","0.307","0.311","0.513","0.512","542","527","929","922","1551","1518","3022","2967","4033",""
"11","NCEA Level 1","Bay of Plenty","2020","1","0.171","0.172","0.297","0.298","0.532","0.53","563","560","975","971","1750","1729","3288","3260","4152",""
"11","NCEA Level 1","Bay of Plenty","2021","1","0.155","0.156","0.282","0.286","0.563","0.558","508","501","925","916","1843","1788","3276","3205","4234",""
"11","NCEA Level 1","Bay of Plenty","2022","1","0.175","0.177","0.289","0.293","0.536","0.53","564","557","930","921","1723","1669","3217","3147","4371",""
"11","NCEA Level 1","Bay of Plenty","2023","1","0.147","0.149","0.278","0.281","0.574","0.57","499","491","944","929","1948","1881","3391","3301","4474",""
"11","NCEA Level 1","Bay of Plenty","2024","1","0.122","0.119","0.254","0.253","0.624","0.628","339","313","706","668","1731","1657","2776","2638","4552",""
"11","NCEA Level 1","Canterbury","2015","1","0.199","0.2","0.344","0.344","0.457","0.456","1147","1146","1979","1977","2626","2616","5752","5739","7123",""
"11","NCEA Level 1","Canterbury","2016","1","0.218","0.219","0.347","0.348","0.434","0.433","1262","1259","2009","2002","2513","2486","5784","5747","7099",""
"11","NCEA Level 1","Canterbury","2017","1","0.222","0.223","0.343","0.343","0.435","0.434","1283","1282","1979","1974","2515","2495","5777","5751","7170",""
"11","NCEA Level 1","Canterbury","2018","1","0.215","0.216","0.371","0.372","0.415","0.412","1183","1183","2040","2038","2282","2257","5505","5478","7097",""
"11","NCEA Level 1","Canterbury","2019","1","0.209","0.21","0.355","0.356","0.436","0.434","1190","1187","2020","2011","2478","2452","5688","5650","7364",""
"11","NCEA Level 1","Canterbury","2020","1","0.226","0.227","0.347","0.349","0.426","0.424","1277","1274","1959","1957","2402","2380","5638","5611","7305",""
"11","NCEA Level 1","Canterbury","2021","1","0.207","0.207","0.339","0.34","0.455","0.454","1128","1124","1849","1845","2485","2464","5462","5433","7299",""
"11","NCEA Level 1","Canterbury","2022","1","0.195","0.196","0.333","0.334","0.473","0.471","1070","1068","1828","1821","2597","2570","5495","5459","7827",""
"11","NCEA Level 1","Canterbury","2023","1","0.174","0.175","0.323","0.324","0.503","0.501","947","943","1756","1746","2741","2702","5444","5391","8239",""
"11","NCEA Level 1","Canterbury","2024","1","0.119","0.12","0.315","0.317","0.566","0.564","606","605","1609","1602","2885","2850","5100","5057","8340",""
"11","NCEA Level 1","Gisborne","2015","1","0.103","0.103","0.306","0.308","0.591","0.588","48","48","143","143","276","273","467","464","639",""
"11","NCEA Level 1","Gisborne","2016","1","0.135","0.136","0.244","0.247","0.621","0.616","65","65","118","118","300","294","483","477","695",""
"11","NCEA Level 1","Gisborne","2017","1","0.104","0.107","0.23","0.232","0.666","0.661","50","50","110","109","319","310","479","469","711",""
"11","NCEA Level 1","Gisborne","2018","1","0.09","0.089","0.259","0.262","0.651","0.649","41","40","118","117","297","290","456","447","705",""
"11","NCEA Level 1","Gisborne","2019","1","0.09","0.09","0.337","0.337","0.573","0.573","36","35","134","131","228","223","398","389","676",""
"11","NCEA Level 1","Gisborne","2020","1","0.116","0.117","0.292","0.293","0.591","0.59","51","51","128","128","259","258","438","437","662",""
"11","NCEA Level 1","Gisborne","2021","1","0.089","0.09","0.284","0.281","0.627","0.629","39","39","124","121","274","271","437","431","712",""
"11","NCEA Level 1","Gisborne","2022","1","0.085","0.086","0.277","0.28","0.638","0.634","36","36","117","117","270","265","423","418","683",""
"11","NCEA Level 1","Gisborne","2023","1","0.094","0.093","0.283","0.287","0.623","0.619","39","38","117","117","258","252","414","407","705",""
"11","NCEA Level 1","Gisborne","2024","1","0.079","0.083","0.225","0.233","0.696","0.685","32","32","91","90","282","265","405","387","713",""
"11","NCEA Level 1","Hawke's Bay","2015","1","0.158","0.156","0.294","0.296","0.548","0.548","299","294","557","556","1039","1029","1895","1879","2321",""
"11","NCEA Level 1","Hawke's Bay","2016","1","0.185","0.185","0.31","0.312","0.505","0.502","354","351","592","591","966","951","1912","1893","2345",""
"11","NCEA Level 1","Hawke's Bay","2017","1","0.173","0.171","0.332","0.338","0.495","0.491","335","323","642","638","958","928","1935","1889","2382",""
"11","NCEA Level 1","Hawke's Bay","2018","1","0.186","0.185","0.34","0.343","0.474","0.472","318","313","580","579","808","796","1706","1688","2189",""
"11","NCEA Level 1","Hawke's Bay","2019","1","0.183","0.182","0.327","0.329","0.49","0.489","324","320","578","578","866","860","1768","1758","2283",""
"11","NCEA Level 1","Hawke's Bay","2020","1","0.198","0.198","0.313","0.315","0.489","0.486","358","357","568","567","886","875","1812","1799","2318",""
"11","NCEA Level 1","Hawke's Bay","2021","1","0.167","0.168","0.32","0.323","0.513","0.508","285","283","546","544","875","855","1706","1682","2197",""
"11","NCEA Level 1","Hawke's Bay","2022","1","0.169","0.17","0.304","0.309","0.527","0.521","309","304","557","553","965","934","1831","1791","2383",""
"11","NCEA Level 1","Hawke's Bay","2023","1","0.143","0.142","0.304","0.311","0.552","0.547","261","250","555","547","1007","964","1823","1761","2454",""
"11","NCEA Level 1","Hawke's Bay","2024","1","0.099","0.099","0.334","0.342","0.567","0.559","144","139","486","482","826","788","1456","1409","2362",""
"11","NCEA Level 1","Manawatu-Whanganui","2015","1","0.135","0.133","0.295","0.292","0.57","0.575","315","305","686","668","1328","1315","2329","2288","3026",""
"11","NCEA Level 1","Manawatu-Whanganui","2016","1","0.149","0.15","0.308","0.307","0.543","0.542","355","353","731","722","1290","1274","2376","2349","3134",""
"11","NCEA Level 1","Manawatu-Whanganui","2017","1","0.142","0.141","0.32","0.319","0.538","0.54","326","320","735","721","1235","1221","2296","2262","3002",""
"11","NCEA Level 1","Manawatu-Whanganui","2018","1","0.153","0.149","0.306","0.308","0.54","0.542","320","305","639","630","1127","1108","2086","2043","2924",""
"11","NCEA Level 1","Manawatu-Whanganui","2019","1","0.155","0.157","0.313","0.315","0.531","0.529","308","306","621","615","1052","1033","1981","1954","3139",""
"11","NCEA Level 1","Manawatu-Whanganui","2020","1","0.18","0.181","0.279","0.28","0.541","0.539","348","348","538","537","1043","1033","1929","1918","2954",""
"11","NCEA Level 1","Manawatu-Whanganui","2021","1","0.134","0.136","0.286","0.287","0.58","0.577","273","273","581","579","1177","1162","2031","2014","3151",""
"11","NCEA Level 1","Manawatu-Whanganui","2022","1","0.154","0.154","0.282","0.285","0.564","0.561","273","270","501","499","1000","982","1774","1751","3069",""
"11","NCEA Level 1","Manawatu-Whanganui","2023","1","0.119","0.119","0.28","0.283","0.601","0.598","209","205","490","488","1052","1030","1751","1723","3406",""
"11","NCEA Level 1","Manawatu-Whanganui","2024","1","0.087","0.088","0.24","0.239","0.672","0.674","110","106","302","289","846","815","1258","1210","3367",""
"11","NCEA Level 1","Marlborough","2015","1","0.175","0.176","0.325","0.326","0.5","0.497","68","68","126","126","194","192","388","386","496",""
"11","NCEA Level 1","Marlborough","2016","1","0.181","0.182","0.282","0.28","0.537","0.539","61","61","95","94","181","181","337","336","467",""
"11","NCEA Level 1","Marlborough","2017","1","0.226","0.224","0.296","0.297","0.478","0.479","72","71","94","94","152","152","318","317","440",""
"11","NCEA Level 1","Marlborough","2018","1","0.167","0.166","0.333","0.338","0.5","0.497","54","53","108","108","162","159","324","320","481",""
"11","NCEA Level 1","Marlborough","2019","1","0.162","0.163","0.332","0.334","0.506","0.503","56","56","115","115","175","173","346","344","505",""
"11","NCEA Level 1","Marlborough","2020","1","0.176","0.177","0.306","0.308","0.518","0.515","54","54","94","94","159","157","307","305","446",""
"11","NCEA Level 1","Marlborough","2021","1","0.109","0.109","0.314","0.315","0.577","0.576","41","41","118","118","217","216","376","375","520",""
"11","NCEA Level 1","Marlborough","2022","1","0.121","0.118","0.324","0.326","0.556","0.556","38","37","102","102","175","174","315","313","469",""
"11","NCEA Level 1","Marlborough","2023","1","0.133","0.135","0.293","0.291","0.574","0.575","44","44","97","95","190","188","331","327","534",""
"11","NCEA Level 1","Marlborough","2024","1","0.059","0.059","0.191","0.188","0.75","0.752","12","12","39","38","153","152","204","202","565",""
"11","NCEA Level 1","Nelson","2015","1","0.207","0.207","0.349","0.349","0.444","0.443","139","139","234","234","298","297","671","670","838",""
"11","NCEA Level 1","Nelson","2016","1","0.191","0.191","0.337","0.338","0.472","0.471","121","121","214","214","300","298","635","633","814",""
"11","NCEA Level 1","Nelson","2017","1","0.25","0.253","0.323","0.325","0.426","0.423","155","155","200","199","264","259","619","613","742",""
"11","NCEA Level 1","Nelson","2018","1","0.215","0.215","0.345","0.345","0.44","0.44","125","125","201","201","256","256","582","582","750",""
"11","NCEA Level 1","Nelson","2019","1","0.17","0.169","0.373","0.374","0.458","0.456","104","103","228","228","280","278","612","609","776",""
"11","NCEA Level 1","Nelson","2020","1","0.192","0.194","0.353","0.355","0.454","0.452","118","118","217","216","279","275","614","609","791",""
"11","NCEA Level 1","Nelson","2021","1","0.173","0.174","0.337","0.338","0.489","0.489","107","107","208","208","302","301","617","616","786",""
"11","NCEA Level 1","Nelson","2022","1","0.217","0.218","0.336","0.339","0.447","0.444","125","124","193","193","257","253","575","570","765",""
"11","NCEA Level 1","Nelson","2023","1","0.176","0.175","0.308","0.309","0.516","0.517","112","111","196","196","329","328","637","635","862",""
"11","NCEA Level 1","Nelson","2024","1","0.114","0.114","0.309","0.31","0.577","0.576","65","65","177","176","330","327","572","568","839",""
"11","NCEA Level 1","Northland","2015","1","0.134","0.136","0.254","0.257","0.612","0.607","213","213","403","402","970","948","1586","1563","2307",""
"11","NCEA Level 1","Northland","2016","1","0.129","0.131","0.278","0.277","0.593","0.592","209","209","448","442","957","944","1614","1595","2290",""
"11","NCEA Level 1","Northland","2017","1","0.142","0.143","0.263","0.265","0.595","0.592","210","209","388","388","879","866","1477","1463","2122",""
"11","NCEA Level 1","Northland","2018","1","0.138","0.139","0.313","0.315","0.549","0.547","197","196","446","445","783","773","1426","1414","2161",""
"11","NCEA Level 1","Northland","2019","1","0.117","0.119","0.252","0.253","0.632","0.629","149","149","321","317","806","789","1276","1255","2187",""
"11","NCEA Level 1","Northland","2020","1","0.093","0.094","0.279","0.277","0.628","0.63","113","112","339","331","764","753","1216","1196","2068",""
"11","NCEA Level 1","Northland","2021","1","0.143","0.141","0.27","0.271","0.586","0.589","193","187","364","359","789","781","1346","1327","2214",""
"11","NCEA Level 1","Northland","2022","1","0.11","0.112","0.219","0.222","0.671","0.666","150","149","300","296","917","888","1367","1333","2425",""
"11","NCEA Level 1","Northland","2023","1","0.084","0.086","0.231","0.234","0.684","0.68","109","109","298","297","883","864","1290","1270","2364",""
"11","NCEA Level 1","Northland","2024","1","0.054","0.052","0.204","0.202","0.742","0.745","66","63","252","243","915","895","1233","1201","2499",""
"11","NCEA Level 1","Otago","2015","1","0.214","0.214","0.362","0.363","0.424","0.423","439","439","744","743","871","865","2054","2047","2433",""
"11","NCEA Level 1","Otago","2016","1","0.218","0.218","0.358","0.359","0.424","0.423","464","463","762","761","902","897","2128","2121","2524",""
"11","NCEA Level 1","Otago","2017","1","0.224","0.224","0.361","0.364","0.414","0.412","458","455","738","738","846","836","2042","2029","2411",""
"11","NCEA Level 1","Otago","2018","1","0.233","0.233","0.367","0.367","0.4","0.4","475","474","749","748","815","814","2039","2036","2435",""
"11","NCEA Level 1","Otago","2019","1","0.231","0.232","0.365","0.366","0.403","0.402","469","468","740","740","817","812","2026","2020","2447",""
"11","NCEA Level 1","Otago","2020","1","0.225","0.225","0.348","0.349","0.427","0.426","474","473","732","732","897","894","2103","2099","2532",""
"11","NCEA Level 1","Otago","2021","1","0.207","0.207","0.329","0.329","0.464","0.464","424","422","672","670","949","946","2045","2038","2463",""
"11","NCEA Level 1","Otago","2022","1","0.206","0.207","0.344","0.346","0.45","0.447","428","426","714","714","935","921","2077","2061","2631",""
"11","NCEA Level 1","Otago","2023","1","0.192","0.192","0.337","0.338","0.471","0.47","406","406","713","713","997","991","2116","2110","2731",""
"11","NCEA Level 1","Otago","2024","1","0.157","0.157","0.311","0.313","0.532","0.53","306","304","606","606","1036","1028","1948","1938","2797",""
"11","NCEA Level 1","Other","2015","1","0.294","0.299","0.357","0.365","0.349","0.336","75","73","91","89","89","82","255","244","1269",""
"11","NCEA Level 1","Other","2016","1","0.291","0.3","0.336","0.352","0.373","0.348","71","69","82","81","91","80","244","230","1263",""
"11","NCEA Level 1","Other","2017","1","0.403","0.407","0.32","0.32","0.276","0.273","73","70","58","55","50","47","181","172","1091",""
"11","NCEA Level 1","Other","2018","1","0.296","0.306","0.387","0.389","0.317","0.306","55","55","72","70","59","55","186","180","1223",""
"11","NCEA Level 1","Other","2019","1","0.382","0.386","0.335","0.338","0.283","0.275","81","80","71","70","60","57","212","207","1531",""
