"Subject","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Accounting","2015","0.033","0.254","0.713","10","77","216","303","372",""
"Accounting","2016","0.035","0.266","0.699","9","69","181","259","362",""
"Accounting","2017","0.032","0.276","0.692","8","69","173","250","355",""
"Accounting","2018","0.038","0.314","0.648","8","66","136","210","317",""
"Accounting","2019","0.029","0.251","0.72","7","61","175","243","346",""
"Accounting","2020","0.031","0.272","0.697","6","53","136","195","300",""
"Accounting","2021","0.047","0.322","0.631","7","48","94","149","302",""
"Accounting","2022","0.036","0.262","0.702","6","44","118","168","311",""
"Accounting","2023","0.029","0.241","0.73","5","42","127","174","287",""
"Accounting","2024","0.028","0.256","0.716","6","55","154","215","338",""
"Agriculture and Horticulture","2015","0.027","0.176","0.797","2","13","59","74","91",""
"Agriculture and Horticulture","2016","0.043","0.234","0.723","2","11","34","47","68",""
"Agriculture and Horticulture","2017","0.03","0.209","0.761","2","14","51","67","86",""
"Agriculture and Horticulture","2018","0.036","0.214","0.75","2","12","42","56","70",""
"Agriculture and Horticulture","2019","0.03","0.212","0.758","2","14","50","66","84",""
"Agriculture and Horticulture","2020","0.034","0.22","0.746","2","13","44","59","80",""
"Agriculture and Horticulture","2021","0.022","0.191","0.787","2","17","70","89","143",""
"Agriculture and Horticulture","2022","0.02","0.153","0.827","2","15","81","98","136",""
"Agriculture and Horticulture","2023","0.024","0.195","0.78","2","16","64","82","128",""
"Agriculture and Horticulture","2024","0.026","0.26","0.714","2","20","55","77","142",""
"Art History","2015","0.019","0.169","0.812","4","36","173","213","272",""
"Art History","2016","0.024","0.189","0.787","4","32","133","169","248",""
"Art History","2017","0.018","0.198","0.784","3","33","131","167","223",""
"Art History","2018","0.02","0.179","0.801","3","27","121","151","206",""
"Art History","2019","0.02","0.154","0.826","3","23","123","149","219",""
"Art History","2020","0.023","0.182","0.795","3","24","105","132","217",""
"Art History","2021","0.014","0.132","0.854","2","19","123","144","233",""
"Art History","2022","0.015","0.147","0.838","2","20","114","136","243",""
"Art History","2023","0.016","0.172","0.813","2","22","104","128","199",""
"Art History","2024","0.023","0.16","0.817","3","21","107","131","244",""
"Biology","2015","0.026","0.223","0.751","33","289","972","1294","1516",""
"Biology","2016","0.024","0.219","0.757","31","282","977","1290","1560",""
"Biology","2017","0.025","0.228","0.747","32","290","950","1272","1603",""
"Biology","2018","0.032","0.275","0.693","33","287","722","1042","1338",""
"Biology","2019","0.03","0.247","0.723","31","258","756","1045","1537",""
"Biology","2020","0.026","0.25","0.724","29","277","803","1109","1588",""
"Biology","2021","0.029","0.284","0.688","30","296","718","1044","1620",""
"Biology","2022","0.028","0.257","0.715","28","261","726","1015","1576",""
"Biology","2023","0.028","0.283","0.689","27","274","668","969","1505",""
"Biology","2024","0.027","0.274","0.699","30","303","773","1106","1658",""
"Calculus","2015","0.027","0.228","0.746","31","266","872","1169","1431",""
"Calculus","2016","0.029","0.223","0.749","33","257","865","1155","1355",""
"Calculus","2017","0.023","0.203","0.774","30","259","988","1277","1467",""
"Calculus","2018","0.024","0.222","0.754","29","269","915","1213","1454",""
"Calculus","2019","0.025","0.198","0.777","31","250","979","1260","1626",""
"Calculus","2020","0.022","0.188","0.79","29","247","1041","1317","1730",""
"Calculus","2021","0.023","0.215","0.763","27","254","903","1184","1722",""
"Calculus","2022","0.025","0.212","0.762","30","250","898","1178","1733",""
"Calculus","2023","0.023","0.215","0.762","27","257","910","1194","1642",""
"Calculus","2024","0.025","0.23","0.744","34","310","1001","1345","1944",""
"Chemistry","2015","0.023","0.215","0.763","27","255","906","1188","1418",""
"Chemistry","2016","0.03","0.245","0.725","27","222","658","907","1263",""
"Chemistry","2017","0.024","0.216","0.76","28","253","891","1172","1461",""
"Chemistry","2018","0.028","0.237","0.735","30","256","795","1081","1340",""
"Chemistry","2019","0.027","0.243","0.729","28","249","746","1023","1492",""
"Chemistry","2020","0.027","0.154","0.818","28","159","843","1030","1632",""
"Chemistry","2021","0.031","0.203","0.765","27","176","662","865","1487",""
"Chemistry","2022","0.038","0.232","0.73","28","171","539","738","1396",""
"Chemistry","2023","0.03","0.285","0.685","24","229","550","803","1344",""
"Chemistry","2024","0.03","0.288","0.682","28","266","631","925","1494",""
"Chinese","2015","0.011","0.149","0.84","1","14","79","94","122",""
"Chinese","2016","0.018","0.174","0.807","2","19","88","109","124",""
"Chinese","2017","0.01","0.109","0.881","2","21","170","193","223",""
"Chinese","2018","0.02","0.154","0.826","3","23","123","149","188",""
"Chinese","2019","0.018","0.145","0.836","3","24","138","165","233",""
"Chinese","2020","0.015","0.104","0.881","3","21","177","201","290",""
"Chinese","2021","0.012","0.127","0.861","2","21","142","165","268",""
"Chinese","2022","0.013","0.146","0.841","2","22","127","151","257",""
"Chinese","2023","0.011","0.086","0.902","2","15","157","174","257",""
"Chinese","2024","0.017","0.133","0.85","3","24","153","180","309",""
"Classical Studies","2015","0.026","0.244","0.73","13","120","359","492","624",""
"Classical Studies","2016","0.031","0.281","0.689","13","119","292","424","594",""
"Classical Studies","2017","0.029","0.276","0.694","12","113","284","409","571",""
"Classical Studies","2018","0.03","0.279","0.691","11","101","250","362","482",""
"Classical Studies","2019","0.029","0.261","0.711","10","91","248","349","526",""
"Classical Studies","2020","0.027","0.246","0.726","9","81","239","329","486",""
"Classical Studies","2021","0.031","0.255","0.715","10","83","233","326","507",""
"Classical Studies","2022","0.024","0.237","0.739","8","78","243","329","557",""
"Classical Studies","2023","0.026","0.259","0.716","8","81","224","313","490",""
"Classical Studies","2024","0.027","0.258","0.715","10","96","266","372","582",""
"Dance","2015","0.028","0.306","0.667","2","22","48","72","101",""
"Dance","2016","0.04","0.307","0.653","3","23","49","75","113",""
"Dance","2017","0.041","0.301","0.658","3","22","48","73","109",""
"Dance","2018","0.036","0.313","0.651","3","26","54","83","111",""
"Dance","2019","0.038","0.244","0.718","3","19","56","78","110",""
"Dance","2020","0.042","0.183","0.775","3","13","55","71","124",""
"Dance","2021","0.058","0.135","0.808","3","7","42","52","101",""
"Dance","2022","0.054","0.321","0.625","3","18","35","56","103",""
"Dance","2023","0.061","0.265","0.673","3","13","33","49","103",""
"Dance","2024","0.07","0.404","0.526","4","23","30","57","92",""
"Design","2015","0.027","0.242","0.732","8","72","218","298","589",""
"Design","2016","0.033","0.258","0.709","9","71","195","275","550",""
"Design","2017","0.028","0.258","0.714","8","74","205","287","537",""
"Design","2018","0.03","0.258","0.712","8","69","190","267","471",""
"Design","2019","0.035","0.292","0.673","7","59","136","202","434",""
"Design","2020","0.027","0.243","0.73","7","63","189","259","505",""
"Design","2021","0.028","0.283","0.688","7","70","170","247","521",""
"Design","2022","0.027","0.262","0.711","7","67","182","256","567",""
"Design","2023","0.028","0.279","0.692","7","69","171","247","514",""
"Design","2024","0.023","0.237","0.74","7","72","225","304","624",""
"Design and Visual Communication","2015","0.015","0.115","0.87","5","39","295","339","372",""
"Design and Visual Communication","2016","0.003","0.123","0.874","1","43","306","350","381",""
"Design and Visual Communication","2017","0.013","0.13","0.857","4","39","257","300","356",""
"Design and Visual Communication","2018","0.015","0.149","0.836","4","40","225","269","278",""
"Design and Visual Communication","2019","0.014","0.128","0.858","4","37","248","289","332",""
"Design and Visual Communication","2020","0.012","0.116","0.872","4","39","293","336","377",""
"Design and Visual Communication","2021","0.011","0.106","0.883","4","39","324","367","434",""
"Design and Visual Communication","2022","0.009","0.113","0.878","3","39","302","344","431",""
"Design and Visual Communication","2023","0.009","0.12","0.871","3","39","283","325","387",""
"Design and Visual Communication","2024","0.011","0.105","0.884","4","39","327","370","458",""
"Drama","2015","0.026","0.219","0.756","7","59","204","270","433",""
"Drama","2016","0.027","0.247","0.726","7","65","191","263","425",""
"Drama","2017","0.029","0.234","0.738","7","57","180","244","394",""
"Drama","2018","0.027","0.233","0.74","7","61","194","262","396",""
"Drama","2019","0.029","0.245","0.727","7","60","178","245","379",""
"Drama","2020","0.025","0.274","0.701","5","54","138","197","380",""
"Drama","2021","0.037","0.305","0.659","6","50","108","164","373",""
"Drama","2022","0.03","0.28","0.689","5","46","113","164","350",""
"Drama","2023","0.026","0.249","0.725","5","48","140","193","355",""
"Drama","2024","0.036","0.325","0.639","6","55","108","169","353",""
"Earth and Space Science","2015","0.024","0.205","0.772","3","26","98","127","166",""
"Earth and Space Science","2016","0.012","0.155","0.833","2","26","140","168","214",""
"Earth and Space Science","2017","0.012","0.14","0.849","2","24","146","172","215",""
"Earth and Space Science","2018","0.019","0.148","0.833","3","24","135","162","209",""
"Earth and Space Science","2019","0.012","0.142","0.846","2","23","137","162","235",""
