"Subject","Ethnicity","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Accounting","Maori","2015","0.1","0.2","0.7","1","2","7","10","13","Small Cohort"
"Accounting","Maori","2016","0","0.222","0.778","0","2","7","9","13","Small Cohort"
"Accounting","Maori","2017","0","0.2","0.8","0","2","8","10","11","Small Cohort"
"Accounting","Maori","2018","0.143","0.286","0.571","1","2","4","7","20","Small Cohort"
"Accounting","Maori","2019","0","0","1","0","0","8","8","18","Small Cohort"
"Accounting","Maori","2020","0.063","0.25","0.688","1","4","11","16","23","Small Cohort"
"Accounting","Maori","2021","0","0.25","0.75","0","3","9","12","17","Small Cohort"
"Accounting","Maori","2022","0.091","0.182","0.727","1","2","8","11","18","Small Cohort"
"Accounting","Maori","2023","0","0.3","0.7","0","3","7","10","17","Small Cohort"
"Accounting","Maori","2024","0","0.111","0.889","0","1","8","9","11","Small Cohort"
"Accounting","European","2015","0.02","0.219","0.76","4","43","149","196","248",""
"Accounting","European","2016","0.018","0.287","0.695","3","48","116","167","236",""
"Accounting","European","2017","0.014","0.213","0.773","2","30","109","141","216",""
"Accounting","European","2018","0.035","0.338","0.627","5","48","89","142","217",""
"Accounting","European","2019","0.029","0.209","0.763","4","29","106","139","211",""
"Accounting","European","2020","0.035","0.27","0.696","4","31","80","115","172",""
"Accounting","European","2021","0.045","0.326","0.629","4","29","56","89","172",""
"Accounting","European","2022","0.051","0.242","0.707","5","24","70","99","177",""
"Accounting","European","2023","0.021","0.26","0.719","2","25","69","96","152",""
"Accounting","European","2024","0.034","0.202","0.765","4","24","91","119","177",""
"Accounting","Pacific Peoples","2015","0","0.2","0.8","0","1","4","5","6","Small Cohort"
"Accounting","Pacific Peoples","2016","0","0","1","0","0","5","5","7","Small Cohort"
"Accounting","Pacific Peoples","2017","0","0","1","0","0","8","8","10","Small Cohort"
"Accounting","Pacific Peoples","2018","0","0","1","0","0","4","4","9","Small Cohort"
"Accounting","Pacific Peoples","2019","0","0","1","0","0","4","4","5","Small Cohort"
"Accounting","Pacific Peoples","2020","0","0","1","0","0","4","4","7","Small Cohort"
"Accounting","Pacific Peoples","2021","0","0","1","0","0","5","5","9","Small Cohort"
"Accounting","Pacific Peoples","2022","0","0","1","0","0","1","1","5","Small Cohort"
"Accounting","Pacific Peoples","2023","0","0","1","0","0","3","3","7","Small Cohort"
"Accounting","Pacific Peoples","2024","","","","","","","","4","Small Cohort"
"Accounting","Asian","2015","0.049","0.32","0.631","5","33","65","103","121",""
"Accounting","Asian","2016","0.07","0.279","0.651","6","24","56","86","117",""
