"Subject","Gender","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Accounting","Female","2015","0.017","0.308","0.675","2","37","81","120","149",""
"Accounting","Female","2016","0.037","0.324","0.639","4","35","69","108","154",""
"Accounting","Female","2017","0.034","0.288","0.678","4","34","80","118","166",""
"Accounting","Female","2018","0.04","0.364","0.596","4","36","59","99","142",""
"Accounting","Female","2019","0.012","0.317","0.671","1","26","55","82","129",""
"Accounting","Female","2020","0.014","0.257","0.729","1","18","51","70","117",""
"Accounting","Female","2021","0.07","0.456","0.474","4","26","27","57","128",""
"Accounting","Female","2022","0.046","0.215","0.738","3","14","48","65","129",""
"Accounting","Female","2023","0.016","0.262","0.721","1","16","44","61","118",""
"Accounting","Female","2024","0.051","0.441","0.508","3","26","30","59","123",""
"Accounting","Male","2015","0.044","0.219","0.738","8","40","135","183","223",""
"Accounting","Male","2016","0.033","0.225","0.742","5","34","112","151","208",""
"Accounting","Male","2017","0.03","0.265","0.705","4","35","93","132","189",""
"Accounting","Male","2018","0.036","0.27","0.694","4","30","77","111","175",""
"Accounting","Male","2019","0.037","0.217","0.745","6","35","120","161","217",""
"Accounting","Male","2020","0.04","0.28","0.68","5","35","85","125","183",""
"Accounting","Male","2021","0.033","0.239","0.728","3","22","67","92","174",""
"Accounting","Male","2022","0.029","0.291","0.68","3","30","70","103","182",""
"Accounting","Male","2023","0.035","0.23","0.735","4","26","83","113","169",""
"Accounting","Male","2024","0.019","0.186","0.795","3","29","124","156","215",""
"Agriculture and Horticulture","Female","2015","0.031","0.063","0.906","1","2","29","32","41",""
"Agriculture and Horticulture","Female","2016","0.056","0.278","0.667","1","5","12","18","27","Small Cohort"
"Agriculture and Horticulture","Female","2017","0.042","0.167","0.792","1","4","19","24","30",""
"Agriculture and Horticulture","Female","2018","0.056","0.167","0.778","1","3","14","18","24","Small Cohort"
"Agriculture and Horticulture","Female","2019","0.133","0","0.867","2","0","13","15","26","Small Cohort"
"Agriculture and Horticulture","Female","2020","0","0.227","0.773","0","5","17","22","34",""
"Agriculture and Horticulture","Female","2021","0","0.167","0.833","0","4","20","24","44",""
"Agriculture and Horticulture","Female","2022","0","0.121","0.879","0","4","29","33","55",""
"Agriculture and Horticulture","Female","2023","0","0.143","0.857","0","3","18","21","35",""
"Agriculture and Horticulture","Female","2024","0.04","0.2","0.76","1","5","19","25","60",""
"Agriculture and Horticulture","Male","2015","0.024","0.262","0.714","1","11","30","42","50",""
"Agriculture and Horticulture","Male","2016","0.034","0.207","0.759","1","6","22","29","41",""
"Agriculture and Horticulture","Male","2017","0.023","0.233","0.744","1","10","32","43","56",""
"Agriculture and Horticulture","Male","2018","0.026","0.237","0.737","1","9","28","38","46",""
"Agriculture and Horticulture","Male","2019","0","0.275","0.725","0","14","37","51","58",""
"Agriculture and Horticulture","Male","2020","0.054","0.216","0.73","2","8","27","37","46",""
"Agriculture and Horticulture","Male","2021","0.031","0.2","0.769","2","13","50","65","99",""
"Agriculture and Horticulture","Male","2022","0.031","0.169","0.8","2","11","52","65","81",""
"Agriculture and Horticulture","Male","2023","0.033","0.213","0.754","2","13","46","61","93",""
"Agriculture and Horticulture","Male","2024","0.02","0.275","0.706","1","14","36","51","81",""
"Art History","Female","2015","0.02","0.184","0.796","3","27","117","147","181",""
"Art History","Female","2016","0.026","0.157","0.817","3","18","94","115","170",""
"Art History","Female","2017","0.008","0.203","0.789","1","25","97","123","162",""
"Art History","Female","2018","0.03","0.198","0.772","3","20","78","101","143",""
"Art History","Female","2019","0.03","0.121","0.848","3","12","84","99","153",""
"Art History","Female","2020","0.024","0.129","0.847","2","11","72","85","155",""
"Art History","Female","2021","0","0.072","0.928","0","6","77","83","151",""
"Art History","Female","2022","0.013","0.125","0.863","1","10","69","80","153",""
"Art History","Female","2023","0.015","0.162","0.824","1","11","56","68","109",""
"Art History","Female","2024","0.013","0.179","0.808","1","14","63","78","142",""
"Art History","Male","2015","0.015","0.136","0.848","1","9","56","66","91",""
"Art History","Male","2016","0.019","0.259","0.722","1","14","39","54","78",""
"Art History","Male","2017","0.045","0.182","0.773","2","8","34","44","61",""
"Art History","Male","2018","0","0.14","0.86","0","7","43","50","63",""
"Art History","Male","2019","0","0.22","0.78","0","11","39","50","66",""
"Art History","Male","2020","0.021","0.277","0.702","1","13","33","47","62",""
"Art History","Male","2021","0.033","0.213","0.754","2","13","46","61","82",""
"Art History","Male","2022","0.018","0.179","0.804","1","10","45","56","90",""
"Art History","Male","2023","0.017","0.183","0.8","1","11","48","60","90",""
"Art History","Male","2024","0.038","0.135","0.827","2","7","43","52","101",""
"Biology","Female","2015","0.028","0.248","0.724","21","189","551","761","896",""
"Biology","Female","2016","0.026","0.234","0.74","21","192","606","819","985",""
"Biology","Female","2017","0.026","0.246","0.728","21","196","581","798","1012",""
"Biology","Female","2018","0.034","0.297","0.668","22","190","427","639","831",""
"Biology","Female","2019","0.025","0.256","0.719","16","163","458","637","978",""
"Biology","Female","2020","0.035","0.258","0.707","23","170","466","659","978",""
"Biology","Female","2021","0.03","0.289","0.681","19","185","436","640","1018",""
"Biology","Female","2022","0.026","0.259","0.715","16","157","434","607","986",""
"Biology","Female","2023","0.027","0.277","0.696","15","152","382","549","932",""
"Biology","Female","2024","0.028","0.289","0.683","18","184","435","637","989",""
"Biology","Male","2015","0.023","0.188","0.789","12","100","419","531","618",""
"Biology","Male","2016","0.021","0.191","0.788","10","90","371","471","575",""
"Biology","Male","2017","0.023","0.198","0.778","11","94","369","474","590",""
"Biology","Male","2018","0.027","0.241","0.732","11","97","295","403","507",""
"Biology","Male","2019","0.037","0.233","0.73","15","95","298","408","559",""
"Biology","Male","2020","0.013","0.238","0.749","6","107","337","450","610",""
"Biology","Male","2021","0.027","0.275","0.698","11","111","282","404","602",""
"Biology","Male","2022","0.029","0.255","0.716","12","104","292","408","590",""
"Biology","Male","2023","0.029","0.291","0.68","12","122","285","419","572",""
"Biology","Male","2024","0.026","0.253","0.721","12","118","336","466","666",""
"Calculus","Female","2015","0.011","0.19","0.799","4","66","278","348","418",""
"Calculus","Female","2016","0.003","0.193","0.804","1","71","295","367","428",""
"Calculus","Female","2017","0.011","0.144","0.844","4","52","304","360","430",""
"Calculus","Female","2018","0","0.142","0.858","0","47","284","331","397",""
"Calculus","Female","2019","0.005","0.112","0.883","2","41","323","366","481",""
"Calculus","Female","2020","0.013","0.111","0.876","5","43","338","386","528",""
"Calculus","Female","2021","0.009","0.164","0.827","3","55","277","335","522",""
"Calculus","Female","2022","0.009","0.167","0.824","3","54","267","324","511",""
"Calculus","Female","2023","0.007","0.129","0.864","2","39","261","302","464",""
"Calculus","Female","2024","0.009","0.169","0.821","3","54","262","319","532",""
"Calculus","Male","2015","0.033","0.244","0.723","27","200","593","820","1012",""
"Calculus","Male","2016","0.041","0.236","0.723","32","186","570","788","927",""
"Calculus","Male","2017","0.028","0.226","0.746","26","207","683","916","1036",""
"Calculus","Male","2018","0.033","0.252","0.715","29","222","630","881","1056",""
"Calculus","Male","2019","0.032","0.234","0.734","29","209","656","894","1145",""
"Calculus","Male","2020","0.026","0.219","0.755","24","204","703","931","1202",""
"Calculus","Male","2021","0.028","0.234","0.737","24","199","626","849","1200",""
"Calculus","Male","2022","0.032","0.23","0.739","27","196","630","853","1221",""
"Calculus","Male","2023","0.028","0.245","0.727","25","218","648","891","1177",""
"Calculus","Male","2024","0.031","0.246","0.723","31","250","735","1016","1399",""
"Chemistry","Female","2015","0.01","0.19","0.8","5","95","400","500","589",""
"Chemistry","Female","2016","0.006","0.202","0.793","2","73","287","362","524",""
"Chemistry","Female","2017","0.004","0.201","0.795","2","94","372","468","623",""
"Chemistry","Female","2018","0.002","0.147","0.851","1","63","366","430","561",""
"Chemistry","Female","2019","0.017","0.217","0.765","7","88","310","405","621",""
"Chemistry","Female","2020","0.018","0.117","0.865","7","45","334","386","696",""
"Chemistry","Female","2021","0.012","0.149","0.839","4","50","281","335","657",""
"Chemistry","Female","2022","0.027","0.235","0.738","7","61","192","260","609",""
"Chemistry","Female","2023","0.013","0.21","0.777","4","65","241","310","572",""
"Chemistry","Female","2024","0.023","0.216","0.761","8","74","261","343","651",""
"Chemistry","Male","2015","0.032","0.233","0.735","22","160","506","688","829",""
"Chemistry","Male","2016","0.046","0.273","0.681","25","149","371","545","739",""
"Chemistry","Male","2017","0.037","0.226","0.737","26","159","519","704","838",""
"Chemistry","Male","2018","0.045","0.296","0.659","29","193","429","651","779",""
"Chemistry","Male","2019","0.034","0.261","0.706","21","161","436","618","871",""
"Chemistry","Male","2020","0.033","0.177","0.79","21","114","509","644","936",""
"Chemistry","Male","2021","0.043","0.238","0.719","23","126","381","530","830",""
"Chemistry","Male","2022","0.044","0.23","0.726","21","110","347","478","787",""
"Chemistry","Male","2023","0.041","0.333","0.627","20","164","309","493","772",""
"Chemistry","Male","2024","0.033","0.328","0.639","19","189","368","576","836",""
"Chinese","Female","2015","0.015","0.123","0.862","1","8","56","65","79",""
"Chinese","Female","2016","0","0.206","0.794","0","14","54","68","77",""
"Chinese","Female","2017","0.018","0.097","0.885","2","11","100","113","124",""
"Chinese","Female","2018","0.022","0.207","0.772","2","19","71","92","118",""
"Chinese","Female","2019","0.028","0.174","0.798","3","19","87","109","140",""
"Chinese","Female","2020","0.009","0.13","0.861","1","14","93","108","148",""
"Chinese","Female","2021","0.011","0.154","0.835","1","14","76","91","138",""
"Chinese","Female","2022","0.011","0.202","0.787","1","18","70","89","147",""
"Chinese","Female","2023","0.02","0.1","0.88","2","10","88","100","148",""
"Chinese","Female","2024","0.026","0.147","0.828","3","17","96","116","192",""
"Chinese","Male","2015","0","0.207","0.793","0","6","23","29","43",""
"Chinese","Male","2016","0.049","0.122","0.829","2","5","34","41","47",""
"Chinese","Male","2017","0","0.125","0.875","0","10","70","80","99",""
"Chinese","Male","2018","0.018","0.07","0.912","1","4","52","57","70",""
"Chinese","Male","2019","0","0.089","0.911","0","5","51","56","93",""
"Chinese","Male","2020","0.022","0.075","0.903","2","7","84","93","142",""
"Chinese","Male","2021","0.014","0.095","0.892","1","7","66","74","130",""
"Chinese","Male","2022","0.016","0.065","0.919","1","4","57","62","110",""
"Chinese","Male","2023","0","0.068","0.932","0","5","69","74","109",""
"Chinese","Male","2024","0","0.109","0.891","0","7","57","64","116",""
"Classical Studies","Female","2015","0.028","0.242","0.73","8","70","211","289","361",""
"Classical Studies","Female","2016","0.015","0.282","0.703","4","73","182","259","335",""
"Classical Studies","Female","2017","0.018","0.267","0.716","4","60","161","225","313",""
"Classical Studies","Female","2018","0.028","0.274","0.698","6","58","148","212","279",""
"Classical Studies","Female","2019","0.032","0.279","0.689","6","53","131","190","306",""
"Classical Studies","Female","2020","0.023","0.229","0.749","4","40","131","175","282",""
"Classical Studies","Female","2021","0.05","0.258","0.692","8","41","110","159","271",""
"Classical Studies","Female","2022","0.036","0.251","0.713","6","42","119","167","323",""
"Classical Studies","Female","2023","0.034","0.288","0.678","5","42","99","146","256",""
"Classical Studies","Female","2024","0.025","0.29","0.685","5","58","137","200","324",""
"Classical Studies","Male","2015","0.025","0.246","0.729","5","50","148","203","263",""
"Classical Studies","Male","2016","0.055","0.279","0.667","9","46","110","165","259",""
"Classical Studies","Male","2017","0.043","0.288","0.668","8","53","123","184","257",""
"Classical Studies","Male","2018","0.033","0.287","0.68","5","43","102","150","203",""
"Classical Studies","Male","2019","0.025","0.239","0.736","4","38","117","159","220",""
"Classical Studies","Male","2020","0.032","0.266","0.701","5","41","108","154","204",""
"Classical Studies","Male","2021","0.012","0.251","0.737","2","42","123","167","236",""
"Classical Studies","Male","2022","0.012","0.222","0.765","2","36","124","162","234",""
"Classical Studies","Male","2023","0.018","0.234","0.749","3","39","125","167","234",""
"Classical Studies","Male","2024","0.029","0.221","0.75","5","38","129","172","257",""
"Dance","Female","2015","0.029","0.265","0.706","2","18","48","68","96",""
"Dance","Female","2016","0.043","0.286","0.671","3","20","47","70","105",""
"Dance","Female","2017","0.048","0.29","0.661","3","18","41","62","93",""
"Dance","Female","2018","0.039","0.316","0.645","3","24","49","76","102",""
"Dance","Female","2019","0.014","0.254","0.732","1","18","52","71","102",""
"Dance","Female","2020","0.031","0.203","0.766","2","13","49","64","106",""
"Dance","Female","2021","0.041","0.122","0.837","2","6","41","49","95",""
"Dance","Female","2022","0.036","0.327","0.636","2","18","35","55","100",""
"Dance","Female","2023","0.067","0.267","0.667","3","12","30","45","88",""
"Dance","Female","2024","0.075","0.396","0.528","4","21","28","53","82",""
"Dance","Male","2015","0","1","0","0","4","0","4","5","Small Cohort"
"Dance","Male","2016","0","0.6","0.4","0","3","2","5","8","Small Cohort"
"Dance","Male","2017","0","0.364","0.636","0","4","7","11","16","Small Cohort"
"Dance","Male","2018","0","0.286","0.714","0","2","5","7","9","Small Cohort"
"Dance","Male","2019","0.286","0.143","0.571","2","1","4","7","8","Small Cohort"
"Dance","Male","2020","0.143","0","0.857","1","0","6","7","18","Small Cohort"
"Dance","Male","2021","0.333","0.333","0.333","1","1","1","3","6","Small Cohort"
"Dance","Male","2022","","","","","","","","3","Small Cohort"
"Dance","Male","2023","0","0.25","0.75","0","1","3","4","15","Small Cohort"
"Dance","Male","2024","0","0.5","0.5","0","2","2","4","10","Small Cohort"
"Design","Female","2015","0.024","0.241","0.736","5","51","156","212","390",""
"Design","Female","2016","0.027","0.273","0.701","5","51","131","187","360",""
"Design","Female","2017","0.028","0.244","0.728","6","52","155","213","349",""
"Design","Female","2018","0.036","0.267","0.697","7","52","136","195","324",""
"Design","Female","2019","0.025","0.283","0.692","4","45","110","159","308",""
"Design","Female","2020","0.021","0.287","0.691","4","54","130","188","352",""
"Design","Female","2021","0.038","0.322","0.639","7","59","117","183","361",""
"Design","Female","2022","0.035","0.285","0.68","6","49","117","172","378",""
"Design","Female","2023","0.037","0.288","0.675","7","55","129","191","377",""
"Design","Female","2024","0.023","0.259","0.718","5","57","158","220","398",""
"Design","Male","2015","0.035","0.244","0.721","3","21","62","86","199",""
"Design","Male","2016","0.046","0.23","0.724","4","20","63","87","189",""
"Design","Male","2017","0.027","0.297","0.676","2","22","50","74","188",""
"Design","Male","2018","0.014","0.236","0.75","1","17","54","72","147",""
"Design","Male","2019","0.07","0.326","0.605","3","14","26","43","126",""
"Design","Male","2020","0.042","0.127","0.831","3","9","59","71","153",""
"Design","Male","2021","0","0.172","0.828","0","11","53","64","160",""
"Design","Male","2022","0.012","0.205","0.783","1","17","65","83","187",""
"Design","Male","2023","0","0.255","0.745","0","14","41","55","136",""
"Design","Male","2024","0.024","0.179","0.798","2","15","67","84","225",""
"Design and Visual Communication","Female","2015","0.005","0.108","0.886","1","20","164","185","204",""
"Design and Visual Communication","Female","2016","0.005","0.145","0.849","1","27","158","186","195",""
"Design and Visual Communication","Female","2017","0.019","0.137","0.845","3","22","136","161","182",""
