"Subject","Region","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Accounting","Auckland","2015","0.044","0.398","0.558","5","45","63","113","133",""
"Accounting","Auckland","2016","0.042","0.302","0.656","4","29","63","96","135",""
"Accounting","Auckland","2017","0.042","0.314","0.644","5","37","76","118","160",""
"Accounting","Auckland","2018","0.029","0.32","0.65","3","33","67","103","145",""
"Accounting","Auckland","2019","0.031","0.305","0.664","4","39","85","128","166",""
"Accounting","Auckland","2020","0.04","0.303","0.657","4","30","65","99","147",""
"Accounting","Auckland","2021","0.07","0.38","0.549","5","27","39","71","155",""
"Accounting","Auckland","2022","0","0.215","0.785","0","20","73","93","174",""
"Accounting","Auckland","2023","0.019","0.257","0.724","2","27","76","105","185",""
"Accounting","Auckland","2024","0.032","0.302","0.667","4","38","84","126","206",""
"Accounting","Bay of Plenty","2015","0.056","0","0.944","1","0","17","18","18","Small Cohort"
"Accounting","Bay of Plenty","2016","0","0.286","0.714","0","4","10","14","20","Small Cohort"
"Accounting","Bay of Plenty","2017","0","0.214","0.786","0","3","11","14","24","Small Cohort"
"Accounting","Bay of Plenty","2018","0.067","0.267","0.667","1","4","10","15","22","Small Cohort"
"Accounting","Bay of Plenty","2019","0","0.111","0.889","0","1","8","9","24","Small Cohort"
"Accounting","Bay of Plenty","2020","0","0.2","0.8","0","3","12","15","34",""
"Accounting","Bay of Plenty","2021","0","0.25","0.75","0","1","3","4","16","Small Cohort"
"Accounting","Bay of Plenty","2022","0","0.286","0.714","0","2","5","7","21","Small Cohort"
"Accounting","Bay of Plenty","2023","0","0.25","0.75","0","1","3","4","6","Small Cohort"
"Accounting","Canterbury","2015","0","0.143","0.857","0","4","24","28","41",""
"Accounting","Canterbury","2016","0","0.4","0.6","0","10","15","25","36",""
"Accounting","Canterbury","2017","0","0.176","0.824","0","3","14","17","25","Small Cohort"
"Accounting","Canterbury","2018","0.071","0.286","0.643","1","4","9","14","32",""
"Accounting","Canterbury","2019","0.063","0.313","0.625","1","5","10","16","25","Small Cohort"
"Accounting","Canterbury","2020","0","0.133","0.867","0","2","13","15","22","Small Cohort"
"Accounting","Canterbury","2021","0","0.333","0.667","0","5","10","15","25","Small Cohort"
"Accounting","Canterbury","2022","0","0.444","0.556","0","4","5","9","22","Small Cohort"
"Accounting","Canterbury","2023","0.091","0.455","0.455","1","5","5","11","17","Small Cohort"
"Accounting","Canterbury","2024","0","0.167","0.833","0","3","15","18","24","Small Cohort"
"Accounting","Hawke's Bay","2015","0.037","0.37","0.593","1","10","16","27","32",""
"Accounting","Hawke's Bay","2016","0.077","0.346","0.577","2","9","15","26","34",""
"Accounting","Hawke's Bay","2017","0.045","0.182","0.773","1","4","17","22","32",""
"Accounting","Hawke's Bay","2018","0.071","0.321","0.607","2","9","17","28","37",""
"Accounting","Hawke's Bay","2019","0","0.294","0.706","0","5","12","17","21","Small Cohort"
"Accounting","Hawke's Bay","2020","0","0.375","0.625","0","6","10","16","25","Small Cohort"
"Accounting","Hawke's Bay","2021","0.05","0.4","0.55","1","8","11","20","31",""
"Accounting","Hawke's Bay","2022","0.2","0.4","0.4","3","6","6","15","22","Small Cohort"
"Accounting","Hawke's Bay","2023","0.1","0.2","0.7","1","2","7","10","11","Small Cohort"
"Accounting","Hawke's Bay","2024","0","0.25","0.75","0","3","9","12","21","Small Cohort"
"Accounting","Manawatu-Whanganui","2015","0.182","0.091","0.727","2","1","8","11","18","Small Cohort"
"Accounting","Manawatu-Whanganui","2016","0","0.12","0.88","0","3","22","25","26","Small Cohort"
"Accounting","Manawatu-Whanganui","2017","0","0.133","0.867","0","2","13","15","19","Small Cohort"
"Accounting","Manawatu-Whanganui","2018","0","0.167","0.833","0","1","5","6","9","Small Cohort"
"Accounting","Manawatu-Whanganui","2019","0","0.083","0.917","0","1","11","12","27","Small Cohort"
"Accounting","Manawatu-Whanganui","2020","0","0.273","0.727","0","3","8","11","13","Small Cohort"
"Accounting","Manawatu-Whanganui","2021","0","0.125","0.875","0","1","7","8","15","Small Cohort"
"Accounting","Manawatu-Whanganui","2022","0","0.2","0.8","0","1","4","5","7","Small Cohort"
"Accounting","Manawatu-Whanganui","2023","0","0.05","0.95","0","1","19","20","21","Small Cohort"
"Accounting","Manawatu-Whanganui","2024","0.037","0.148","0.815","1","4","22","27","34",""
"Accounting","Marlborough","2017","","","","","","","","1","Small Cohort"
"Accounting","Nelson","2015","0","0","1","0","0","4","4","5","Small Cohort"
"Accounting","Nelson","2016","0","0","1","0","0","3","3","6","Small Cohort"
"Accounting","Nelson","2017","0","0.5","0.5","0","1","1","2","9","Small Cohort"
"Accounting","Nelson","2018","","","","","","","","3","Small Cohort"
"Accounting","Nelson","2019","","","","","","","","3","Small Cohort"
"Accounting","Nelson","2020","","","","","","","","2","Small Cohort"
"Accounting","Nelson","2021","","","","","","","","3","Small Cohort"
"Accounting","Nelson","2022","","","","","","","","4","Small Cohort"
"Accounting","Nelson","2023","","","","","","","","2","Small Cohort"
"Accounting","Nelson","2024","","","","","","","","1","Small Cohort"
"Accounting","Northland","2015","","","","","","","","1","Small Cohort"
"Accounting","Northland","2021","","","","","","","","1","Small Cohort"
"Accounting","Otago","2015","0","0.2","0.8","0","1","4","5","7","Small Cohort"
"Accounting","Otago","2016","0","0","1","0","0","8","8","12","Small Cohort"
"Accounting","Otago","2017","","","","","","","","4","Small Cohort"
"Accounting","Otago","2018","","","","","","","","3","Small Cohort"
"Accounting","Otago","2019","","","","","","","","3","Small Cohort"
"Accounting","Otago","2020","","","","","","","","4","Small Cohort"
"Accounting","Otago","2021","","","","","","","","3","Small Cohort"
"Accounting","Otago","2023","","","","","","","","4","Small Cohort"
"Accounting","Otago","2024","","","","","","","","3","Small Cohort"
"Accounting","Other","2017","","","","","","","","1","Small Cohort"
