"Subject","School Equity Index Group","Academic Year","Outstanding Scholarship Rate","Scholarship Rate","No Award Rate","Outstanding Scholarship Count","Scholarship Count","No Award Count","Total Assessed Result Count","Total Student Count","Cohort Warning"
"Accounting","Fewer","2019","0.009","0.272","0.719","1","31","82","114","152",""
"Accounting","Fewer","2020","0.05","0.32","0.63","5","32","63","100","153",""
"Accounting","Fewer","2021","0.063","0.388","0.55","5","31","44","80","165",""
"Accounting","Fewer","2022","0.032","0.266","0.702","3","25","66","94","167",""
"Accounting","Fewer","2023","0.038","0.25","0.712","4","26","74","104","173",""
"Accounting","Fewer","2024","0.031","0.291","0.677","4","37","86","127","207",""
"Accounting","Moderate","2019","0.049","0.255","0.696","5","26","71","102","154",""
"Accounting","Moderate","2020","0.016","0.206","0.778","1","13","49","63","103",""
"Accounting","Moderate","2021","0","0.25","0.75","0","10","30","40","90",""
"Accounting","Moderate","2022","0.021","0.208","0.771","1","10","37","48","97",""
"Accounting","Moderate","2023","0","0.152","0.848","0","7","39","46","66",""
"Accounting","Moderate","2024","0.018","0.145","0.836","1","8","46","55","78",""
"Accounting","More","2020","","","","","","","","1","Small Cohort"
"Accounting","More","2023","","","","","","","","1","Small Cohort"
"Agriculture and Horticulture","Fewer","2019","0.026","0.282","0.692","1","11","27","39","45",""
"Agriculture and Horticulture","Fewer","2020","0.069","0.241","0.69","2","7","20","29","37",""
"Agriculture and Horticulture","Fewer","2021","0.019","0.154","0.827","1","8","43","52","75",""
"Agriculture and Horticulture","Fewer","2022","0.023","0.182","0.795","1","8","35","44","53",""
"Agriculture and Horticulture","Fewer","2023","0.032","0.175","0.794","2","11","50","63","88",""
"Agriculture and Horticulture","Fewer","2024","0.043","0.255","0.702","2","12","33","47","81",""
"Agriculture and Horticulture","Moderate","2019","0","0.143","0.857","0","1","6","7","17","Small Cohort"
"Agriculture and Horticulture","Moderate","2020","0","0.313","0.688","0","5","11","16","23","Small Cohort"
"Agriculture and Horticulture","Moderate","2021","0","0.261","0.739","0","6","17","23","47",""
"Agriculture and Horticulture","Moderate","2022","0.034","0.138","0.828","1","4","24","29","52",""
"Agriculture and Horticulture","Moderate","2023","0","0.3","0.7","0","3","7","10","14","Small Cohort"
"Agriculture and Horticulture","Moderate","2024","0","0.412","0.588","0","7","10","17","27","Small Cohort"
"Agriculture and Horticulture","More","2021","","","","","","","","1","Small Cohort"
"Art History","Fewer","2019","0.027","0.173","0.8","3","19","88","110","139",""
"Art History","Fewer","2020","0.029","0.181","0.79","3","19","83","105","149",""
"Art History","Fewer","2021","0.019","0.165","0.816","2","17","84","103","164",""
"Art History","Fewer","2022","0.019","0.171","0.81","2","18","85","105","184",""
"Art History","Fewer","2023","0.01","0.188","0.802","1","19","81","101","153",""
"Art History","Fewer","2024","0.03","0.14","0.83","3","14","83","100","186",""
"Art History","Moderate","2019","0","0.111","0.889","0","3","24","27","57",""
"Art History","Moderate","2020","0","0.263","0.737","0","5","14","19","46",""
"Art History","Moderate","2021","0","0.04","0.96","0","1","24","25","46",""
"Art History","Moderate","2022","0","0","1","0","0","13","13","24","Small Cohort"
"Art History","Moderate","2023","0","0","1","0","0","12","12","20","Small Cohort"
"Art History","Moderate","2024","0","0.111","0.889","0","2","16","18","37",""
"Art History","More","2022","","","","","","","","1","Small Cohort"
"Biology","Fewer","2019","0.039","0.25","0.71","22","141","400","563","793",""
"Biology","Fewer","2020","0.032","0.255","0.714","20","161","451","632","847",""
"Biology","Fewer","2021","0.036","0.285","0.679","22","174","415","611","907",""
"Biology","Fewer","2022","0.023","0.262","0.715","14","159","434","607","906",""
"Biology","Fewer","2023","0.025","0.293","0.683","14","166","387","567","840",""
"Biology","Fewer","2024","0.025","0.293","0.682","18","208","485","711","1043",""
"Biology","Moderate","2019","0.02","0.249","0.732","7","88","259","354","547",""
"Biology","Moderate","2020","0.016","0.208","0.776","6","77","287","370","565",""
"Biology","Moderate","2021","0.019","0.255","0.726","6","81","231","318","540",""
"Biology","Moderate","2022","0.022","0.21","0.768","6","57","208","271","473",""
"Biology","Moderate","2023","0.019","0.235","0.746","5","61","194","260","453",""
"Biology","Moderate","2024","0.027","0.226","0.747","7","59","195","261","433",""
"Biology","More","2019","0","0.357","0.643","0","5","9","14","32",""
"Biology","More","2020","0","0","1","0","0","4","4","5","Small Cohort"
"Biology","More","2021","0","0.167","0.833","0","1","5","6","10","Small Cohort"
"Biology","More","2022","0","0","1","0","0","15","15","19","Small Cohort"
"Biology","More","2023","0","0.143","0.857","0","1","6","7","16","Small Cohort"
"Biology","More","2024","0","0.125","0.875","0","1","7","8","19","Small Cohort"
"Calculus","Fewer","2019","0.03","0.226","0.744","20","153","503","676","833",""
"Calculus","Fewer","2020","0.021","0.213","0.766","16","159","572","747","942",""
"Calculus","Fewer","2021","0.023","0.234","0.743","15","155","491","661","976",""
"Calculus","Fewer","2022","0.031","0.235","0.735","21","161","504","686","1038",""
"Calculus","Fewer","2023","0.028","0.235","0.736","18","150","469","637","862",""
"Calculus","Fewer","2024","0.029","0.257","0.714","22","196","545","763","1043",""
"Calculus","Moderate","2019","0.016","0.147","0.836","7","64","363","434","598",""
"Calculus","Moderate","2020","0.016","0.139","0.845","6","53","322","381","532",""
"Calculus","Moderate","2021","0.011","0.184","0.805","4","64","280","348","512",""
"Calculus","Moderate","2022","0.009","0.136","0.855","3","46","289","338","473",""
"Calculus","Moderate","2023","0.013","0.136","0.851","5","54","337","396","563",""
"Calculus","Moderate","2024","0.013","0.159","0.829","5","62","324","391","644",""
"Calculus","More","2019","0","0.19","0.81","0","4","17","21","23","Small Cohort"
"Calculus","More","2020","0","0.1","0.9","0","1","9","10","11","Small Cohort"
"Calculus","More","2021","0","0","1","0","0","16","16","20","Small Cohort"
"Calculus","More","2022","0","0.273","0.727","0","3","8","11","19","Small Cohort"
"Calculus","More","2023","0","0","1","0","0","19","19","28","Small Cohort"
"Calculus","More","2024","0","0.143","0.857","0","2","12","14","23","Small Cohort"
"Chemistry","Fewer","2019","0.028","0.271","0.7","16","153","395","564","775",""
"Chemistry","Fewer","2020","0.032","0.179","0.789","18","100","442","560","844",""
"Chemistry","Fewer","2021","0.039","0.204","0.757","18","94","348","460","777",""
"Chemistry","Fewer","2022","0.042","0.262","0.696","16","101","268","385","754",""
"Chemistry","Fewer","2023","0.024","0.306","0.671","10","130","285","425","687",""
"Chemistry","Fewer","2024","0.018","0.321","0.661","9","164","338","511","801",""
"Chemistry","Moderate","2019","0.025","0.202","0.773","8","64","245","317","526",""
"Chemistry","Moderate","2020","0.018","0.088","0.894","6","30","305","341","562",""
"Chemistry","Moderate","2021","0.026","0.172","0.803","7","47","220","274","498",""
"Chemistry","Moderate","2022","0.021","0.162","0.817","5","38","192","235","446",""
"Chemistry","Moderate","2023","0.027","0.223","0.75","7","57","192","256","437",""
"Chemistry","Moderate","2024","0.043","0.229","0.729","12","64","204","280","479",""
"Chemistry","More","2019","0","0.083","0.917","0","1","11","12","23","Small Cohort"
"Chemistry","More","2020","0","0","1","0","0","7","7","12","Small Cohort"
"Chemistry","More","2021","0","0.25","0.75","0","1","3","4","14","Small Cohort"
"Chemistry","More","2022","0","0.333","0.667","0","1","2","3","10","Small Cohort"
"Chemistry","More","2023","0","0.4","0.6","0","2","3","5","15","Small Cohort"
"Chemistry","More","2024","0","0","1","0","0","6","6","12","Small Cohort"
"Chinese","Fewer","2019","0.01","0.198","0.792","1","19","76","96","137",""
"Chinese","Fewer","2020","0.015","0.103","0.882","2","14","120","136","193",""
"Chinese","Fewer","2021","0","0.15","0.85","0","15","85","100","165",""
"Chinese","Fewer","2022","0.022","0.124","0.854","2","11","76","89","163",""
"Chinese","Fewer","2023","0","0.04","0.96","0","4","95","99","145",""
"Chinese","Fewer","2024","0.01","0.144","0.845","1","14","82","97","183",""
"Chinese","Moderate","2019","0.024","0.048","0.929","1","2","39","42","52",""
"Chinese","Moderate","2020","0","0.077","0.923","0","3","36","39","52",""
"Chinese","Moderate","2021","0","0.08","0.92","0","2","23","25","41",""
"Chinese","Moderate","2022","0","0.125","0.875","0","4","28","32","42",""
"Chinese","Moderate","2023","0","0.077","0.923","0","2","24","26","34",""
"Chinese","Moderate","2024","0","0.086","0.914","0","3","32","35","55",""
"Chinese","More","2020","","","","","","","","2","Small Cohort"
"Classical Studies","Fewer","2019","0.019","0.265","0.716","4","56","151","211","303",""
"Classical Studies","Fewer","2020","0.035","0.258","0.707","7","51","140","198","278",""
"Classical Studies","Fewer","2021","0.026","0.292","0.682","5","57","133","195","293",""
"Classical Studies","Fewer","2022","0.014","0.242","0.744","3","53","163","219","334",""
"Classical Studies","Fewer","2023","0.036","0.265","0.699","7","52","137","196","291",""
"Classical Studies","Fewer","2024","0.025","0.275","0.699","6","65","165","236","338",""
"Classical Studies","Moderate","2019","0.041","0.186","0.773","4","18","75","97","164",""
"Classical Studies","Moderate","2020","0.01","0.178","0.812","1","18","82","101","155",""
"Classical Studies","Moderate","2021","0.034","0.148","0.818","3","13","72","88","151",""
"Classical Studies","Moderate","2022","0.027","0.189","0.784","2","14","58","74","149",""
"Classical Studies","Moderate","2023","0","0.16","0.84","0","13","68","81","138",""
"Classical Studies","Moderate","2024","0.024","0.2","0.776","2","17","66","85","169",""
"Classical Studies","More","2019","","","","","","","","1","Small Cohort"
"Classical Studies","More","2020","","","","","","","","3","Small Cohort"
"Classical Studies","More","2021","","","","","","","","1","Small Cohort"
"Classical Studies","More","2022","0","0","1","0","0","2","2","5","Small Cohort"
"Classical Studies","More","2024","","","","","","","","3","Small Cohort"
"Dance","Fewer","2019","0","0.214","0.786","0","6","22","28","43",""
"Dance","Fewer","2020","0.08","0.24","0.68","2","6","17","25","44",""
"Dance","Fewer","2021","0.15","0.15","0.7","3","3","14","20","41",""
"Dance","Fewer","2022","0.15","0.45","0.4","3","9","8","20","42",""
"Dance","Fewer","2023","0.091","0.545","0.364","1","6","4","11","29","Small Cohort"
"Dance","Fewer","2024","0.036","0.536","0.429","1","15","12","28","39",""
"Dance","Moderate","2019","0.067","0.222","0.711","3","10","32","45","56",""
"Dance","Moderate","2020","0.027","0.135","0.838","1","5","31","37","67",""
"Dance","Moderate","2021","0","0.12","0.88","0","3","22","25","53",""
"Dance","Moderate","2022","0","0.235","0.765","0","8","26","34","54",""
"Dance","Moderate","2023","0.071","0.179","0.75","2","5","21","28","63",""
"Dance","Moderate","2024","0.083","0.208","0.708","2","5","17","24","45",""
"Dance","More","2019","0","0","1","0","0","1","1","5","Small Cohort"
"Dance","More","2020","","","","","","","","3","Small Cohort"
"Dance","More","2024","","","","","","","","2","Small Cohort"
"Design","Fewer","2019","0.009","0.336","0.655","1","37","72","110","237",""
"Design","Fewer","2020","0.02","0.208","0.772","3","31","115","149","281",""
"Design","Fewer","2021","0.03","0.333","0.636","4","44","84","132","284",""
"Design","Fewer","2022","0.021","0.229","0.75","3","32","105","140","315",""
"Design","Fewer","2023","0.024","0.232","0.744","3","29","93","125","294",""
"Design","Fewer","2024","0.024","0.226","0.75","4","37","123","164","314",""
"Design","Moderate","2019","0.06","0.179","0.761","4","12","51","67","142",""
"Design","Moderate","2020","0.027","0.24","0.733","2","18","55","75","165",""
"Design","Moderate","2021","0","0.185","0.815","0","17","75","92","193",""
"Design","Moderate","2022","0.022","0.3","0.678","2","27","61","90","199",""
"Design","Moderate","2023","0.01","0.337","0.653","1","33","64","98","174",""
"Design","Moderate","2024","0.018","0.193","0.789","2","21","86","109","230",""
