Secondary Subject,Level,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Accounting,Level 1,2015,266,9021,0.122,5158,0.087,30463,0.162,0.245,0.292,0.301,4932,7476,8884,9171,
Accounting,Level 1,2016,264,9483,0.13,5229,0.088,31111,0.165,0.249,0.274,0.313,5119,7732,8524,9736,
Accounting,Level 1,2017,257,9661,0.136,4927,0.085,29852,0.169,0.234,0.298,0.299,5039,6993,8896,8924,
Accounting,Level 1,2018,246,8910,0.128,4245,0.075,25852,0.158,0.246,0.276,0.32,4086,6367,7124,8275,
Accounting,Level 1,2019,244,9385,0.112,3902,0.069,25050,0.163,0.247,0.27,0.319,4087,6189,6773,8001,
Accounting,Level 1,2020,238,8470,0.089,3402,0.063,21797,0.15,0.239,0.269,0.342,3277,5200,5869,7451,
Accounting,Level 1,2021,223,7669,0.082,3159,0.06,19983,0.126,0.24,0.275,0.36,2514,4788,5493,7188,
Accounting,Level 1,2022,215,7760,0.082,3019,0.057,19698,0.154,0.242,0.271,0.334,3028,4760,5334,6576,
Accounting,Level 1,2023,210,7447,0.079,2855,0.051,18789,0.163,0.239,0.269,0.329,3056,4496,5057,6180,
Accounting,Level 2,2015,235,4281,0.061,3387,0.066,18049,0.161,0.281,0.278,0.28,2898,5077,5017,5057,
Accounting,Level 2,2016,239,4419,0.061,3317,0.063,17918,0.158,0.252,0.29,0.3,2833,4512,5192,5381,
Accounting,Level 2,2017,229,4377,0.06,3067,0.059,17199,0.167,0.26,0.275,0.298,2869,4475,4722,5133,
Accounting,Level 2,2018,220,4124,0.058,2709,0.054,15415,0.151,0.277,0.278,0.294,2330,4263,4288,4534,
Accounting,Level 2,2019,210,3701,0.052,2345,0.047,13616,0.174,0.264,0.267,0.295,2375,3594,3632,4015,
Accounting,Level 2,2020,200,3667,0.051,2111,0.043,12560,0.142,0.253,0.272,0.333,1780,3180,3415,4185,
Accounting,Level 2,2021,199,3813,0.055,2071,0.044,12934,0.121,0.25,0.286,0.343,1565,3232,3695,4442,
Accounting,Level 2,2022,189,3405,0.05,1829,0.04,11551,0.154,0.246,0.269,0.33,1783,2847,3112,3809,
Accounting,Level 2,2023,190,3597,0.05,1997,0.04,12399,0.157,0.253,0.277,0.313,1945,3139,3437,3878,
Accounting,Level 2,2024,178,3714,0.047,2102,0.039,12715,0.16,0.264,0.266,0.31,2036,3352,3384,3943,
Accounting,Level 3,2015,212,3427,0.069,2641,0.067,13654,0.155,0.303,0.283,0.259,2120,4133,3858,3543,
Accounting,Level 3,2016,232,3201,0.063,2510,0.064,12817,0.159,0.292,0.278,0.271,2035,3742,3569,3471,
Accounting,Level 3,2017,203,3208,0.061,2455,0.061,12429,0.143,0.283,0.277,0.297,1783,3514,3438,3694,
Accounting,Level 3,2018,203,3153,0.059,2280,0.057,11729,0.157,0.288,0.272,0.283,1839,3382,3191,3317,
Accounting,Level 3,2019,201,2992,0.055,2010,0.051,10594,0.14,0.294,0.283,0.283,1484,3111,3002,2997,
Accounting,Level 3,2020,186,2698,0.05,1466,0.038,8994,0.135,0.285,0.273,0.308,1216,2559,2451,2768,
Accounting,Level 3,2021,186,2777,0.051,1653,0.042,9327,0.102,0.28,0.291,0.327,951,2614,2713,3049,
Accounting,Level 3,2022,181,2705,0.051,1517,0.041,8969,0.136,0.289,0.281,0.294,1216,2588,2524,2641,
Accounting,Level 3,2023,172,2670,0.051,1611,0.043,8925,0.151,0.283,0.27,0.297,1346,2522,2410,2647,
Accounting,Level 3,2024,164,2733,0.047,1689,0.041,9266,0.156,0.279,0.277,0.289,1444,2581,2566,2675,
Agribusiness,Level 2,2017,12,173,0.002,39,0.001,418,0.002,0.385,0.383,0.23,1,161,160,96,
Agribusiness,Level 2,2018,37,510,0.007,126,0.003,1195,0.162,0.305,0.276,0.256,194,365,330,306,
