Secondary Subject,Level,Ethnicity,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Accounting,Level 1,Asian,2015,201,1971,0.192,1396,0.165,7662,0.132,0.208,0.301,0.359,1013,1593,2306,2750,
Accounting,Level 1,Asian,2016,204,2028,0.191,1390,0.159,7601,0.142,0.205,0.286,0.367,1076,1560,2173,2792,
Accounting,Level 1,Asian,2017,209,1981,0.184,1266,0.144,6963,0.145,0.211,0.309,0.335,1009,1470,2150,2334,
Accounting,Level 1,Asian,2018,203,2021,0.18,1238,0.137,6816,0.124,0.211,0.286,0.379,846,1437,1948,2585,
Accounting,Level 1,Asian,2019,196,1990,0.149,1062,0.118,6022,0.13,0.21,0.289,0.372,780,1264,1738,2240,
Accounting,Level 1,Asian,2020,198,1872,0.125,998,0.113,5555,0.12,0.212,0.271,0.397,664,1179,1507,2205,
Accounting,Level 1,Asian,2021,190,1590,0.116,878,0.113,4854,0.088,0.196,0.275,0.442,425,951,1333,2145,
Accounting,Level 1,Asian,2022,192,1701,0.12,868,0.11,4972,0.112,0.204,0.272,0.412,559,1012,1351,2050,
Accounting,Level 1,Asian,2023,184,1851,0.113,902,0.094,5265,0.129,0.213,0.28,0.379,678,1119,1475,1993,
Accounting,Level 1,European,2015,253,5725,0.129,3123,0.084,18702,0.145,0.247,0.302,0.306,2711,4611,5649,5731,
Accounting,Level 1,European,2016,258,6037,0.138,3254,0.088,19529,0.149,0.248,0.279,0.325,2908,4837,5441,6343,
Accounting,Level 1,European,2017,245,6251,0.148,3100,0.085,19028,0.152,0.231,0.306,0.311,2883,4386,5832,5927,
Accounting,Level 1,European,2018,235,5670,0.136,2586,0.073,16038,0.146,0.247,0.281,0.326,2346,3956,4510,5226,
Accounting,Level 1,European,2019,231,6118,0.119,2454,0.069,16088,0.146,0.245,0.279,0.33,2346,3941,4485,5316,
Accounting,Level 1,European,2020,227,5492,0.095,2079,0.061,13825,0.137,0.238,0.276,0.348,1897,3289,3821,4818,
Accounting,Level 1,European,2021,215,5108,0.087,1989,0.058,12921,0.123,0.238,0.277,0.362,1584,3073,3583,4681,
Accounting,Level 1,European,2022,213,4933,0.083,1879,0.055,12347,0.143,0.239,0.277,0.341,1762,2947,3423,4215,
Accounting,Level 1,European,2023,201,4706,0.084,1760,0.05,11747,0.148,0.241,0.276,0.335,1742,2831,3242,3932,
