Secondary Subject,Level,Gender,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Accounting,Level 1,Female,2015,221,4705,0.129,2539,0.086,15186,0.138,0.225,0.289,0.349,2092,3415,4382,5297,
Accounting,Level 1,Female,2016,220,4869,0.136,2584,0.088,15476,0.145,0.215,0.278,0.362,2239,3325,4307,5605,
Accounting,Level 1,Female,2017,214,4902,0.139,2508,0.086,14931,0.148,0.207,0.3,0.345,2208,3089,4480,5154,
Accounting,Level 1,Female,2018,203,4371,0.128,2117,0.076,12718,0.127,0.219,0.284,0.37,1612,2782,3618,4706,
Accounting,Level 1,Female,2019,201,4586,0.11,2003,0.07,12456,0.135,0.213,0.274,0.378,1679,2656,3411,4710,
Accounting,Level 1,Female,2020,199,4138,0.09,1649,0.061,10319,0.119,0.203,0.274,0.403,1230,2099,2828,4162,
Accounting,Level 1,Female,2021,183,3822,0.084,1544,0.059,9630,0.101,0.208,0.273,0.418,969,2006,2625,4030,
Accounting,Level 1,Female,2022,174,3832,0.083,1468,0.057,9377,0.128,0.2,0.271,0.401,1199,1880,2541,3757,
Accounting,Level 1,Female,2023,170,3622,0.078,1402,0.051,8893,0.132,0.201,0.272,0.394,1174,1789,2422,3508,
Accounting,Level 1,Male,2015,210,4314,0.115,2618,0.087,15271,0.186,0.266,0.295,0.254,2839,4059,4499,3874,
Accounting,Level 1,Male,2016,204,4611,0.125,2643,0.089,15625,0.184,0.282,0.27,0.264,2876,4402,4216,4131,
Accounting,Level 1,Male,2017,201,4758,0.133,2418,0.084,14917,0.19,0.262,0.296,0.253,2830,3902,4415,3770,
Accounting,Level 1,Male,2018,193,4539,0.128,2128,0.075,13134,0.188,0.273,0.267,0.272,2474,3585,3506,3569,
