Secondary Subject,Level,Region,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Accounting,Level 1,Auckland,2015,71,2831,0.118,1825,0.092,10295,0.161,0.239,0.289,0.311,1653,2461,2977,3204,
Accounting,Level 1,Auckland,2016,68,3130,0.13,1883,0.095,10679,0.166,0.238,0.273,0.322,1774,2546,2920,3439,
Accounting,Level 1,Auckland,2017,67,2984,0.128,1784,0.092,9822,0.17,0.22,0.302,0.307,1674,2162,2970,3016,
Accounting,Level 1,Auckland,2018,69,2992,0.128,1564,0.081,9053,0.149,0.251,0.267,0.333,1349,2275,2418,3011,
Accounting,Level 1,Auckland,2019,67,3058,0.108,1462,0.077,8682,0.156,0.232,0.276,0.336,1355,2012,2399,2916,
Accounting,Level 1,Auckland,2020,67,2637,0.078,1242,0.068,7263,0.154,0.233,0.261,0.352,1117,1690,1898,2558,
Accounting,Level 1,Auckland,2021,62,2269,0.071,1211,0.071,6831,0.095,0.233,0.268,0.403,651,1591,1833,2756,
Accounting,Level 1,Auckland,2022,62,2452,0.074,1209,0.071,7001,0.155,0.238,0.271,0.336,1086,1666,1895,2354,
Accounting,Level 1,Auckland,2023,58,2411,0.074,1224,0.067,7014,0.188,0.214,0.259,0.338,1322,1500,1819,2373,
Accounting,Level 1,Bay of Plenty,2015,16,606,0.114,272,0.066,1888,0.148,0.23,0.298,0.324,279,434,563,612,
Accounting,Level 1,Bay of Plenty,2016,14,652,0.124,230,0.057,1806,0.166,0.262,0.259,0.313,300,473,467,566,
Accounting,Level 1,Bay of Plenty,2017,15,645,0.127,246,0.061,1812,0.189,0.241,0.281,0.289,342,437,510,523,
Accounting,Level 1,Bay of Plenty,2018,14,627,0.126,243,0.063,1622,0.165,0.236,0.29,0.309,268,383,470,501,
Accounting,Level 1,Bay of Plenty,2019,14,818,0.124,256,0.063,1924,0.132,0.263,0.273,0.332,254,506,526,638,
Accounting,Level 1,Bay of Plenty,2020,15,624,0.093,221,0.056,1582,0.154,0.26,0.273,0.312,244,412,432,494,
Accounting,Level 1,Bay of Plenty,2021,13,445,0.066,186,0.047,1177,0.128,0.25,0.281,0.341,151,294,331,401,
Accounting,Level 1,Bay of Plenty,2022,13,533,0.08,171,0.044,1281,0.132,0.253,0.265,0.351,169,324,339,449,
Accounting,Level 1,Bay of Plenty,2023,14,546,0.079,163,0.039,1272,0.15,0.261,0.264,0.325,191,332,336,413,
Accounting,Level 1,Canterbury,2015,32,1130,0.132,567,0.08,3539,0.133,0.236,0.294,0.338,469,834,1040,1196,
Accounting,Level 1,Canterbury,2016,35,1237,0.147,635,0.091,3861,0.136,0.226,0.284,0.355,525,871,1096,1369,
Accounting,Level 1,Canterbury,2017,31,1283,0.151,665,0.095,3986,0.136,0.203,0.319,0.342,541,809,1273,1363,
Accounting,Level 1,Canterbury,2018,30,1222,0.145,576,0.086,3634,0.124,0.216,0.291,0.369,450,785,1057,1342,
Accounting,Level 1,Canterbury,2019,33,1435,0.147,551,0.078,3665,0.161,0.233,0.26,0.346,589,854,953,1269,
Accounting,Level 1,Canterbury,2020,31,1484,0.132,485,0.073,3358,0.137,0.23,0.293,0.34,459,772,984,1143,
Accounting,Level 1,Canterbury,2021,29,1236,0.117,410,0.064,2870,0.11,0.231,0.289,0.37,315,662,830,1063,
Accounting,Level 1,Canterbury,2022,29,1083,0.099,347,0.053,2533,0.139,0.228,0.285,0.348,352,578,722,881,
