Secondary Subject,Level,School Equity Index Group,Academic Year,Provider Count,Students Assessed in 1+ Credits Count,Students Assessed in 1+ Credits Rate,Students Assessed in 14+ Credits Count,Students Assessed in 14+ Credits Rate,Assessed Count,Not Achieved Rate,Achieved Rate,Merit Rate,Excellence Rate,Not Achieved Count,Achieved Count,Merit Count,Excellence Count,Cohort Warning
Accounting,Level 1,Fewer,2019,62,2796,0.125,1446,0.092,8389,0.122,0.211,0.292,0.375,1025,1767,2453,3144,
Accounting,Level 1,Fewer,2020,60,2578,0.099,1223,0.081,7237,0.125,0.207,0.278,0.39,902,1496,2014,2825,
Accounting,Level 1,Fewer,2021,59,2303,0.09,1192,0.084,6726,0.093,0.207,0.291,0.41,626,1390,1954,2756,
Accounting,Level 1,Fewer,2022,59,2362,0.094,1189,0.085,6682,0.126,0.208,0.277,0.389,840,1389,1854,2599,
Accounting,Level 1,Fewer,2023,56,2250,0.1,1118,0.076,6425,0.129,0.202,0.296,0.373,829,1298,1899,2399,
Accounting,Level 1,Moderate,2019,132,5004,0.116,1853,0.063,12615,0.182,0.261,0.264,0.293,2292,3294,3333,3696,
Accounting,Level 1,Moderate,2020,132,4589,0.094,1646,0.058,11313,0.169,0.258,0.264,0.309,1908,2921,2987,3497,
Accounting,Level 1,Moderate,2021,120,4016,0.085,1479,0.053,9971,0.152,0.251,0.266,0.331,1518,2499,2657,3297,
Accounting,Level 1,Moderate,2022,114,4024,0.084,1411,0.051,9835,0.169,0.254,0.263,0.314,1661,2502,2583,3089,
Accounting,Level 1,Moderate,2023,116,4059,0.085,1336,0.045,9675,0.187,0.257,0.254,0.303,1808,2485,2454,2928,
Accounting,Level 1,More,2019,33,728,0.052,135,0.017,1364,0.32,0.303,0.182,0.196,436,413,248,267,
Accounting,Level 1,More,2020,29,575,0.039,107,0.014,1007,0.282,0.315,0.214,0.189,284,317,216,190,
Accounting,Level 1,More,2021,27,520,0.034,70,0.009,905,0.188,0.391,0.234,0.187,170,354,212,169,
